arrival_date;arrival_date_calc;cargo_list;crew_number;forced_arrival;master_name;master_role;parsed_text;passenger_account;publication_day;quarantine;raw_text;ship_flag;ship_name;ship_tons_capacity;ship_tons_unit;ship_type;source_file;travel_departure_port;travel_duration_unit;travel_duration_value
Día 4:;;N/A:  | N/A: ;;;Morton;cap.;;;;;"Dia 4: Do Nuova York y Nassau, en 64 dias. vap. am. Missouri, cap. Morton; ton. 1110, con efectos, & Drain y";am.;Missouri;;;vap.;1872_01_05;Nueva York y Nassau;;
;;;;;Hellard;cap.;;;;;vap. faano. Nouveau Monde, cap. Hellard, ton. 1910,;;Nouveau Monde;;;vap.;1872_01_05;;;
Día 54:;;;;;;cap.;;;;;-Grangemoub, en 54 dias berg. sueco Gerda, cap.;sueco;Gerda;;;berg.;1872_01_05;Grangemoub;;
;;N/A: ;;;;cap.;;;;;cap. l'arks, tons. 340, con carbon á la Compañía;;l'arks;;;;1872_01_05;;;
Día 36:;;N/A: ;;;Bermer;cap.;;;;;-St. John (N. B) en 36 dias gol. ing. Reineds Prevoyanse, cap. Bermer, tons, 112, con bacalao, á R.;ing.;Reineds Prevoyanse;;;gol.;1872_01_06;St. John (N. B);;
Día 57:;;;;;;cap.;;;;;-Palma de Mallorca y Algeciras en 57 dias berg. cap.;;;;;berg.;1872_01_07;Palma de Mallorca;;
Día 17:;;N/A:  | N/A:  | N/A: ;;;Westberg;cap.;;;;;Carreras. New York en 17 dias bra. amer, John Grifin, cap. Westberg, tons. 232, con efecto, J. de Rio.;amer;John Grifin;;;bra.;1872_01_09;New York;;
Día 46:;;;;;Paul;cap.;;;;;Carreras. - New Port en 46 dias berg. Lor. Venskebet, cap. Paul;;Lor. Venskebet;;;berg.;1872_01_09;New Port;;
Día 56:;;N/A: ;;;Lucas;cap.;;;;;183 con efectos á J. Morales -Mallorca en 56 dias pol. esp. Margarita, cap. Lucas;esp.;Margarita;;;pol.;1872_01_10;Mallorca;;
Día 60:;;;;;;cap.;;;;;Valagay Algeciras en 60 dias berg. San Jo:6, cap.;;San Jo;;;berg.;1872_01_10;Algeciras;;
Día 10:;;;;;Frɛea;cap.;;;;;Dis 10: Para Aquin (II alti) bea. esp. Augusta E'sa, cap. Frɛea. -Amberes berg. cap. Esperanze, cap Asteinza;esp.;Augusta E'sa;;;bea.;1872_01_11;Aquin;;
Día 1:;;N/A: ;;;Appolman;cap.;;;;;Cayo Hueso en 1 dia viv? amer. Thomas L. Holmstrom, cap. Appolman, tons. 27, con pescado vivo, á;;Thomas L. Holmstrom;;;amer.;1872_01_12;Cayo Hueso;;
Día 16:;;;;;Nichols;cap.;;;;;N. York en 16 dias gol. am. Lookout. cap. Nichols,;am.;Lookout;;;gol.;1872_01_13;N. York;;
Día 3:;;;;;Lehmen;cap.;;;;;-Nassau en 3 dias gol. am. Zinga, cap. Lehmen, ton.;am.;Zinga;;;gol.;1872_01_13;Nassau;;
Día 43:;;;;;Hange;cap.;;;;;-Cardiff en 43 dias berg. not. Ellisit, cap. Hange, tɔn;not.;Ellisit;;;berg.;1872_01_14;Cardiff;;
