arrival_date;arrival_date_calc;cargo_list;crew_number;forced_arrival;master_name;master_role;parsed_text;passenger_account;publication_day;quarantine;raw_text;ship_flag;ship_name;ship_tons_capacity;ship_tons_unit;ship_type;source_file;travel_departure_port;travel_duration_unit;travel_duration_value
Día 31:;;N/A: ;;;Lealand;cap.;;;;;De Liverpool en 31 dias berg. am. Eliza Morton, cap. Lealand, ton. 254, trip. 10, con carbon de piedra á la Compaia del gas.;am.;Eliza Morton;;;berg.;1876_01_01;Liverpool;;
Día 2:;;N/A:  | N/A:  | N/A:  | N/A: ;;;Luisa;cap.;;;;;Punta Rasa y C. Hueso en 2 días vap. cap. Luisa, cap. Llorca, ton. 10, trip. 20, con ganado vacuno, á Cila, Golcoco, y cp.;;;;;vap.;1876_01_01;Punta Rasa y C.;;
Día 39:;;N/A: ;;;Rebeteck;cap.;;;;;Cariliff en 39 días bca. aueca Theodor Parker, cap. Rebeteck, tons. 332, trip. 10, con carbon de piedra, á Zalanta y Sobrino.;;Theodor Parker;;;bca.;1876_01_01;Cariliff;;
Día 14:;;N/A:  | N/A:  | N/A:  | N/A: ;;;Salceda;cap.;;;;;Progreso en 14 dias berg. c.p. Braunlo y Viconte, cap. Salceda, ton. 131, trip. 8, ccm campechcia, á M. de Arce y cp.;;c.p. Braunlo y Viconte;;;berg.;1876_01_01;Progreso;;
Día 5:;;N/A:  | N/A:  | N/A: ;;;Phillips;cap.;;;;;Veracruz y Progreso en 5 días vap. am. City of Havana, cap. Phillips, ton. 1700, trip. 43, con efectos, á Zaido y cp. Pas 17;am.;City of Havana;;;vap.;1876_01_01;Veracruz;;
Día 5:;;N/A: ;;;Hill;cap.;;;;;Indianola en 5 dias vap. am. Cassio, cap. Hill, ton. 404, trip. 26, con ganado vacuno, á Mo Kellar, Lullog y cp.;am.;Cassio;;;vap.;1876_01_01;Indianola;;
Día 31:;;N/A:  | N/A:  | N/A:  | N/A: ;;;Echevarría;cap.;;;;;Santander en 31 días bca. cap. Dª Flora de Pombo, cap. Echevarría, tons. 530, trip. 20, con hierina, á J. Ríos y cp. Pasaj. 4.;;Dª Flora de Pombo;;;bca.;1876_01_01;Santander;;
Día 10:;;N/A: ;;;Andraou;cap.;;;;;Do Norfolk en 10 dias, gol. amor. Lizzie B. Grogg, cap. Andraou, to. 223, trip. 7, con atravesafios, á S. C. Burham;;Lizzie B. Grogg;;;gol.;1876_01_02;Norfolk;;
Día 41:;;N/A: ;;;Wixon;cap.;;;;;—Cariff en 41 dias, gol. de 3 pales amor. Ellen M. Golder, cap. Wixon, to. 51, trip. 10 con carbon de piedra. á Zulneta y Solbisc.;;Ellen M. Golder;;;gol.;1876_01_02;Cariff;;
Día 11:;;N/A: ;;;Hunt;cap.;;;;;—New York en 11 dias, berg. amer. John W. Hunt, cap. Hunt, to. 438, trip. 16, con efectos, á Hamel, hija y Cp.;amer.;John W. Hunt;;;berg.;1876_01_02;New York;;
Día 45:;;N/A: ;;;Roberts;cap.;;;;;—Liverpool en 45 dias, berg. ing. Arotas, cap. Roberts, to. 512, trip. 9, con carbon de piedra, á la Compañía del gas.;ing.;Arotas;;;berg.;1876_01_02;Liverpool;;
Día 77:;;N/A: ;;;Doco de Junio;cap.;;;;;—Barcelona y Almería en 77 dias, bca. cap. Doco de Junio, cap. Rivarosa, tons. 374, trip. 17, con frutos, á Gassol, Avenaño y Cp.—Pássajeros 4.;;;;;bca.;1876_01_02;Barcelona y Almería;;
Día 32:;;N/A:  | N/A: ;;;Herrera;cap.;;;;;D. Gádiz y P. Rico en 32 dias vap. cor. esp. Isla de Cuba, cap. Herrera, ton. 650, trip. 106, con frontos y correspondencia á Samá, Sotolongo y op.-Pas. 637.;esp.;Isla de Cuba;;;vap.;1876_01_04;Gádiz y P. Rico;;
Día 22:;;N/A:  | N/A:  | N/A: ;;;Reid;cap.;;;;;—Liverpool en la Coruña en 22 dias vap. ing. St. Louis, cap. Reid, ton. 1158, trip. 43, con efectos á Durrity, Chaffraiz y cp.-Pasaj. 80 para cada y 12 de tránsito.;ing.;St. Louis;;;vap.;1876_01_04;Liverpool;;
Día 33:;;N/A:  | N/A: ;;;Lopez;cap.;;;;;—Vigo en 33 dias gol. esp. Esperancita, cap. Lopez, ton. 71, trip. 6, con sal y cobillas á A. Serpa.;esp.;Esperancita;;;gol.;1876_01_04;Vigo;;
Día 41:;;N/A:  | N/A:  | N/A:  | N/A: ;;;Alberti;cap.;;;;;—Buenos Aires y Ajó en 41 dias berg. esp. Llorot, cap. Alberti, ton. 189, trip. 12, con tassajo á Porta, Ramon y op.;esp.;Llorot;;;berg.;1876_01_04;Buenos Aires y Ajó;;
Día 43:;;N/A:  | N/A: ;;;Look;cap.;;;;;—Cardiff en 43 dias berg. am. Clara M. Goodrich, cap. Look, ton. 3-2, trip. 9, con carbono de piedra á Zu- louts y sobrino.;am.;Clara M. Goodrich;;;berg.;1876_01_04;Cardiff;;
Día 45:;;N/A: ;;;Buckman;cap.;;;;;—Cardiff en 45 dias berg. am. Emma, cap. Buckman, ton. 341, trip. 10, con carbono de piedra á J. Y. Crawford.;am.;Emma;;;berg.;1876_01_04;Cardiff;;
