arrival_date;arrival_date_calc;cargo_list;master_name;master_role;publication_day;raw_text;ship_flag;ship_name;ship_type;source_file;travel_departure_port
Día 4:;;N/A: ;Hannok;cap.;;-Pascagoula, en 4 días, gol. Bertha Lauose, capitán Hannok. trip. 6, tons. 220, con madera, á;;Bertha Lauose;gol.;1895_01_01;Pascagoula
;;;Burley;cap.;;ington, cap. Burley, trip. 70, tons. 1,649, con;ing;;;1895_01_01;
;;N/A: ;Sproul;cap.;;cap. Sproul, trip. 7, tons. 358, con madera, á la;;;;1895_01_01;
;;N/A: ;Mewell;cap.;;cap. Mewell, trip. 8, tons. 491, con carbón, á la;;;;1895_01_01;
Día 4:;;N/A: ;Hoffmann;cap.;;-Nueva York en 4 días vap. am. Seguranca, capitán Hoffmann, trip. 70, tons. 2896, con carga á;am.;Seguranca;vap.;1895_01_03;Nueva York
;;;Hodgdon;cap.;;Stinsson, cap. Hodgdon, trip. 11, tons. 932, con;;Stinsson;;1895_01_03;
;;;Pashley;cap.;;cap. Pashley, trip. 7, tons. 266.;;;;1895_01_05;
;;;;;;De arribada por traer descomposición en la máquina;;;;1895_01_08;
Día 4:;;N/A: ;Boyce;cap.;;-Nueva York, en 4 días vap. am. Saratoga, capitán Boyce, trip. 70, tons. 1692, con carga a Hidolgo y Ca;am.;Saratoga;vap.;1895_01_08;Nueva York
Día 8:;;N/A:  | N/A:  | N/A:  | N/A: ;Diez;cap.;;-Nueva Orleans en 8 días vap. esp. Catalina, capitán Diez, t ip 57, tons. con carga de tránPito á Loychate, Saenz y Ca;esp.;Catalina;vap.;1895_01_08;Nueva Orleans
;;;;;;De arribada por traer fuego á bordo.;;;;1895_01_08;
;;;Fit h.;cap.;;W. Fit h. cap. Beller, trip. 10, tons. 1221, con;;Beller;;1895_01_08;
;;N/A:  | N/A:  | N/A: ;Longh'in;cap.;;True, cap. Longh'in, trip. 10, tons. 1123, co;;True;;1895_01_09;
;;;Castellá;cap.;;Cndal, cap. Castellá, trip. 70 tons. 1616. con;;Cndal;;1895_01_09;
Día 18:;;N/A: ;Bengoa;cap.;;Día 18: De Liverpool y escalas, en 28 dias, vap. esp. Satnrnina, cap. Bengoa, trip. 4!, tons. 1785, con carbón á Loychate, Saenz y Ca;esp.;Satnrnina;vap.;1895_01_15;Liverpool
Día 14:;;N/A:  | N/A:  | N/A: ;Hapkins;cap.;;-Halifax y escalas, en 14 dias, vap. ing. Beta, capitán Hapkins. trip. 27, tons. 677, con carga á;ing.;Beta;vap.;1895_01_15;Halifax
Día 5:;;N/A:  | N/A: ;Maxon;cap.;;-Nueva Orleans y escalas, en 5 dias vap. americano Aransas, cap. Maxon, trip. 35, tons. 678,;americano;Aransas;vap.;1895_01_15;Nueva Orleans
Día 16:;;;Guernica;cap.;;Día 16: De Liverpool y escalas en 24 dí 18 vap. esp. Palentino, cap. Guernica, trip. 29, tons. 1456 con carg;esp.;Palentino;vap.;1895_01_18;Liverpool
;;N/A: ;Hoffmana;cap.;;cap. Hoffmana, trip. 74, tons. 2806 con carga á;;;;1895_01_18;
Día 30:;;;Decker;cap.;;-Tampa y Cayo-Hueo, en 30 horas, vapor americano Mascotte, cap. Decker, trip. 43, tons. 520,;americano;Mascotte;vapor;1895_01_22;Tampa y Cayo-Hueo
Día 4:;;N/A: ;Burley;cap.;;-Nueva York en 4 días vap. am. City of Washington, cap. Burley, trip 64 ton. 1743, con carga Hidalgo y Ca;am.;City of Washington;vap.;1895_01_29;Nueva York
Día 2:;;N/A:  | N/A:  | N/A: ;Harlon;cap.;;Dí 2: -Tampa y Cayo-Hueso, en 30 horas, vapor americano Olivette, cap Harlon, ton. 1105. trip 53. en lastre á Lawton Hnos. Pascagoula en 14 días gol. ing Utilitz, capitán Tapp, trip. 6, tou. 124, con madera à R. Trufin y Ca - Panzacola, en 7 días, gol. am. Jennie Lasa, capitán Dadge, trip. 7, ton. 330, con madera à R. P. Santa María. -New Castle en 23 ins, vap. ing. D'Griflammé, cap. Staunard, trip. 31, tons. 2129, con carga á la o den;americano;Olivette;vapor;1895_01_29;Tampa y Cayo-Hueso
;;N/A: ;Dodge;cap.;;eria cap. Dodge trip. 7, tons. 380 con madera;;eria;;1895_01_29;
;;N/A:  | N/A: ;Homaza;cap.;;Industria cap. Homaza trip. 16 tons. 760 con;;Industria;;1895_01_29;
Día 28:;;;Eúskaro;cap.;;Día 28: De Liverpool y escalas en 31 días vap. cap. Eúskaro;;;vap.;1895_01_30;Liverpool
;;;Alemany;cap.;;Iguacio, cap. Alemany trip. 84, tons. 2298 con;;Iguacio;;1895_02_03;
Día 3:;;;O'Neill;cap.;;-Mobila, en 3 dias berg. ing. Estalla, cap. O'Neill;ing.;Estalla;berg.;1895_02_05;Mobila
Día 8:;;N/A:  | N/A: ;Sou hard;cap.;;Compañís. De Pazcagon'a, en 8 ds., goal, am. Anna M. Stammer, cap. Sou hard, trips. 10, tons. 419, con madora. & R. Truffin y Cp.;am.;Anna M. Stammer;goal;1895_02_05;Pazcagon'a
;;N/A: ;Barglliat;cap.;;vap. francés Washington, cap. Barglliat, tripulautes 151, tons. 1558, con carga á Bridat, Montros y Ca;francés;Washington;vap.;1895_02_08;
;;N/A:  | N/A: ;St veas;cap.;;"con ca ga á Hidalgo y Ca De Veracruz y escala vap. amer. ""Séneca"" cap. St veas trip. 67 toas 1911 con carga á IIidalgo y";amer.;Séneca;vap.;1895_02_08;Veracruz
Día 5:;;;Staples;cap.;;fablanca De Nueva Orleans y escalas, en 5 días, vap. americano Whitney, cap. Staples, trip. 33, tons. 676,;americano;Whitney;vap.;1895_02_10;Nueva Orleans
Día 30:;;;Decker;cap.;;-Tampa y Cayo-Hueo, en 30 horas, vapor americano Mascotte, cap. Decker, trip. 43, tons. 520,;americano;Mascotte;vapor;1895_02_10;Tampa y Cayo-Hueo
Dia 11:;;N/A:  | N/A:  | N/A:  | N/A: ;Hanlon;cap.;;Dia 11: -Tampa y Cayo-Hueso, en 30 horas, vapor americano Olivette, cap. Hanlon, ton. 1105, en lastre á Lawton y Hnos. De Liverpool y escalas, en 30 días vap. esp. Baenaventura, cap. Luzárrega, trip. 36, ton. 1831 con;americano;Olivette;vapor;1895_02_12;Tampa y Cayo-Hueso
;;;Ozamis;cap.;;Sienz, cap. Ozamis, trip. 52, tons. 3466, con;;Sienz;;1895_02_14;
Día 5:;;;;cap.;;-Nueva York, en 5 días, vap. am. Yumuri, cap.;am.;Yumuri;vap.;1895_02_14;Nueva York
Día 4:;;N/A: ;Boyce;cap.;;-Veracruz y esca'as. en 4 ise, vap. am. Saratoga, cap. Boyce, trip. 54, ton 1692, con carga á;am.;Saratoga;vap.;1895_02_14;Veracruz
