arrival_date;arrival_date_calc;cargo_list;master_name;master_role;publication_day;raw_text;ship_flag;ship_name;ship_type;source_file;travel_departure_port
Día 7:;;N/A: ;Amedonell;cap.;;De Baltimore en 7 días, vap. ing. Southwood, capitán Amedonell, trip. 20. tons. 830: con carbon á L. V. Placé. — A las 7¾ de la mañana.;ing.;Southwood;vap.;1887_01_02;Baltimore
Día 13:;;N/A:  | N/A:  | N/A: ;Hill;cap.;;— Tampa y Cayo Hueso en 13 días vapor americano Whitney, cap. Hill, trip. 39, tons. 767: en lastre, á Lawton y H. — A las 11 de la mañana.;americano;Whitney;vapor;1887_01_02;Tampa y Cayo Hueso
Día 14:;;N/A:  | N/A: ;Mc Kay;cap.;;De Tampa y Cayo Hueso en 14 dia, vap. amer. Mascotte, cap. Mc Kay, trip. 40, tons. 520: en lastre, á Lawton y Hno. - Á las 6¿ de la mañana.;amer.;Mascotte;vap.;1887_01_04;Tampa y Cayo Hueso
Día 7:;;N/A:  | N/A: ;Phompsen;cap.;;— Pausacola en 7 dias, gol. amer. M. Bella, capitan Phompsen, trip. 10, tons. 445: con carga general á Durán y Cp. y 82 de la mañana.;amer.;M. Bella;gol.;1887_01_04;Pausacola
Día 34:;;N/A:  | N/A: ;Rettig;cap.;;— Nueva York en 34 dias, vap. amer. City of Washington, cap. Rettig, trip. 65, tons. 1,649: con carga general, Hidalgo y Cp. - Á las 11¿ de la mañana.;amer.;City of Washington;vap.;1887_01_04;Nueva York
Día 64:;;N/A:  | N/A: ;Alsiña;cap.;;De Montevidé en 64 días berg. esp. Pilar, cap. Alsiña, trip. 11. tons. 193: con tasajo, á J. Ginerés y Cp. -Cornwallis (N. E.) en 23 días bergantin gol. Caribbean, cap. Roop. trip. 7. tons. 173: con carga, á Lawton y Hnos. -A las 2/4 de la tarde.;esp.;Pilar;berg.;1887_01_05;Montevidé
Día 26:;;N/A: ;Paker;cap.;;De Yarmt (N. E.) en 26 días ber. ing. Louisa Coipel, cap. Paker, trip. 7. tons. 143: con carga, á Lawton y H² y H²: A las 9/4 de la mañana.;ing.;Louisa Coipel;ber.;1887_01_05;Yarmt (N. E.)
Día 17:;;N/A: ;Osame;cap.;;De Liverpool y Santander en 17 dias vap. esp. Catalan, cap. Osame, trip. 26, tons. 976: con carga general, á J. M. Avendaño y Cp.-A las 3 de la tarde.;esp.;Catalan;vap.;1887_01_06;Liverpool y Santander
Día 28:;;N/A: ;Olagubiel;cap.;;—Hamburgue y escalas en 28 dias vap. esp. Bremen, cap. Olagubiel, trip. 23, tons. 764: con carga general, á Will y Hnos.-A las 5 de la tarde.;esp.;Bremen;vap.;1887_01_06;Hamburgue
Día 13:;;N/A: ;Boyer;cap.;;De Saint Nazaire y escalas en 13 días vap. francés Saint Germain, cap. Boyer, trip. 188, tons. 2,292: con carga general, á Bridat, Montros y Cp.-A las 6 de la mañana.;francés;Saint Germain;vap.;1887_01_06;Saint Nazaire
Día 5:;;N/A: ;Staples;cap.;;Nueva Orleans y escalas en 5 días vap. amer. Morgan, cap. Staples, trip. 31, tons. 539: con carga general, á Lawton y H?—A las 74 de la mañana.;amer.;Morgan;vap.;1887_01_06;Nueva Orleans
Día 15:;;N/A: ;Ochoa;cap.;;Santhomas y escalas en 15 días vap. esp. Ramon de Herrera, cap. Ochoa, trip. 47, tons. 624: con carga general, á R. de Herrera.-A las 8 de la mañana.;esp.;Ramon de Herrera;vap.;1887_01_06;Santhomas
Día 4:;;N/A: ;Cúrtis;cap.;;Nueva York en 4 días vap. amer Saratoga, cap. Cúrtis, trip. 60, tons. 1,682: con carga general, á Hidalgo y Cp.-A las 84 de la mañana.;amer;Saratoga;vap.;1887_01_06;Nueva York
Día 18:;;;Ave;cap.;;De Liverpool en 18 días vap. esp. Enrique, cap. Ave-;esp.;Enrique;vap.;1887_01_07;Liverpool
;;N/A: ;Mc Kay;cap.;;cotte, cap. Mc Kay, trip. 40, tons. 520: en lastre, á;;;cotte;1887_01_07;
Día 13:;;N/A: ;Champion;cap.;;De Filadelfia en 13 dias gol. amer. G. Albo't. capitan Champion, trip. 9. tons. 564: con carbon. á Vio-net, Armor y Cp. -A las 7 3/4 de la mañana.;amer.;G. Albo't;gol.;1887_01_08;Filadelfia
Día 72:;;N/A: ;Ginesta;cap.;;—Montevideo en 72 dias berg. esp. Bella Dolores, cap. Ginesta, trip. 12. tons. 225: con fasao. á L. Ruiz. -A las 8 1/4 de la mañana.;esp.;Bella Dolores;berg.;1887_01_08;Montevideo
Día 31:;;N/A: ;Sosvilla;cap.;;De canarias y escalas en 31 dias. berg. esp. Triunfo, cap. Sosvilla. trip. 15, tons. 239: con carga general, cap. Martinez, Mende y Cp. -A las 7 de la mañana.;esp.;Triunfo;berg.;1887_01_09;canarias
Día 25:;;N/A: ;Sutherland;cap.;;—Cardiff en 25 dias, vap. ing. Astiield, cap. Sutherland, trip. 19, tons. 994: con carbon a M. Calvo y Cp. -A las 84 de la mañana.;ing.;Astiield;vap.;1887_01_09;Cardiff
Día 24:;;N/A: ;Buckler;cap.;;—Jamaica en 24 dias, vap. ing. Dee, cap. Buckler, trip. 53, tons. 1.207: con carga general a G. R. Ruthven, -A las 9 de la mañana.;ing.;Dee;vap.;1887_01_09;Jamaica
Día 13:;;N/A: ;Hill;cap.;;—Tampa y Cayo Hueso en 13 dias, vapor americano Whitney, cap. Hill, trip. 39, tons. 767: en lastre, á Lawton y H° -A las 94 de la mañana.;americano;Whitney;vapor;1887_01_09;Tampa y Cayo Hueso
Día 65:;;N/A: ;Anderson;cap.;;De Génova en 65 días berg. sueco Neutral, cap. Anderson, trip. 9, tons. 372: con carga general, á Duran y Cp. - A las 2/4 de la tarde.;sueco;Neutral;berg.;1887_01_11;Génova
Día 18:;;N/A: ;Cebada;cap.;;De Santander y escalas en 18 días vapor-correo esp. Ciudad Condal, cap. Cebada, trip. 97, tons. 2,900: con carga general, á M. Calvo y Cp. - A las 7/4 de la mañana.;esp.;Ciudad Condal;vapor-correo;1887_01_11;Santander
Día 18:;;N/A: ;Larrinaga;cap.;;Liverpool y escalas en 18 días vap. esp. Buenaventura, cap. Larrinaga, trip. 36, tons. 1,331: con carga general, á Claudio G. Saenz y Cp. - A las 7/4 de la mañana.;esp.;Buenaventura;vap.;1887_01_11;Liverpool
Día 35:;;N/A: ;Terol;cap.;;Barcelona y escalas en 35 días vap. esp. Cristóbal Colon, cap. Terol, trip. 59, tons. 1,741: con carga general, á J. M. Avenida y Cp. - A las 8 de la mañana.;esp.;Cristóbal Colon;vap.;1887_01_11;Barcelona
Día 54:;;N/A: ;Keighton;cap.;;Colón en 54 días vap. ing. Chiewick, cap. Keighton, trip. 21, tons. 795: en lastre, á L. Placé. - A las 9/4 de la mañana.;ing.;Chiewick;vap.;1887_01_11;Colón
Día 43:;;N/A: ;Carmona;cap.;;Nueva York en 43 días vap. esp. México, cap. Carmona, trip. 64, tons. 2,112: con carga general, á M. Calvo y Cp. - A las 2/4 de la tarde.;esp.;México;vap.;1887_01_11;Nueva York
Día 14:;;N/A:  | N/A: ;Mc Kay;cap.;;De Tampa y Cayo Hueso en 14 día, vap. amer. Mascotte, cap. Mc Kay, trip. 40, tons. 520: en lastre, á Lawton y Hno. - A las 8/4 de la mañana.;amer.;Mascotte;vap.;1887_01_11;Tampa y Cayo Hueso
Día 30:;;N/A: ;Larrauri;cap.;;De Liverpool y escala en 30 días vap. esp. Eduardo, cap. Larrauri, trip. 38, tons. 1.246: con carga general, á Deulofeu y Cpd. -A las 7½ de la mañana.;esp.;Eduardo;vap.;1887_01_12;Liverpool
Día 17:;;N/A: ;;trip.;;—Providencia (R. I.) en 17 días gol. amer. L. A. Davis, trip. 8, tons. 596: con carbon, á Barrios y Cp. -A las 9½ de la mañana.;amer.;L. A. Davis;gol.;1887_01_12;Providencia (R. I.)
Día 4½:;;N/A: ;pitan Stevens;cap.;;—Nueva York en 4½ días vap. amer. Manhattan, cap. pitan Stevens, trip. 38, tons. 1.154: con carga general, á Hidalgo y Cp. -A las 11 de la mañana.;amer.;Manhattan;vap.;1887_01_12;Nueva York
Día 20:;;N/A: ;Sherman;cap.;;De Boston en 20 días berg. amer. Arthur C. Wade, cap. Sherman, trip. 10, tons. 684: con carbon, á G. Sastre.—A las 2½ de la tarde.;amer.;Arthur C. Wade;berg.;1887_01_13;Boston
Día 27:;;N/A: ;Jarnis;cap.;;—Filadelfia en 27 días g l. amer. M. A. May, cap. Jarnis, trip. 8, tons. 599: con carbon, á J. Barrios y Cp.—A las 5 de la tarde.;amer.;M. A. May;g l.;1887_01_13;Filadelfia
