arrival_date;arrival_date_calc;cargo_list;crew_number;forced_arrival;master_name;master_role;parsed_text;passenger_account;publication_day;quarantine;raw_text;ship_flag;ship_name;ship_tons_capacity;ship_tons_unit;ship_type;source_file;travel_departure_port;travel_duration_unit;travel_duration_value
Día 81:;;N/A: ;;;Mateu;pat.;;;;;Día 81: De Playas de San Juan, gol. San Francisco, pat. Mateu: con 1,000 sacos carbón.;;San Francisco;;;gol.;1890_01_01;Playas de San Juan;;
Día 2:;;N/A: ;;;Bilbao;cap.;;;;;Día 2: De Sagua, vapur Clara, cap. Bilbao: con 184 tercios;;Clara;;;vap.;1890_01_03;Sagua;;
;;N/A: ;;;Real;cap.;;;;;-Malas-Agnas, vapor Tritón. cap. Real: con 201;;Tritón;;;vapor;1890_01_03;Malas-Agnas;;
;;N/A: ;;;Pereira;pat.;;;;;-Carahatas, gol. Teresita, pat. Pereira: con 185;;Teresita;;;gol.;1890_01_03;Carahatas;;
;;N/A: ;;;Chetas;pat.;;;;;Cárdenas. gol. Angelita, pat. Chetas con 280;;Angelita;;;gol.;1890_01_03;Cárdenas;;
;;;;;Valent;pat.;;;;;-Cárdenas, gol. María del Cariilen, pat. Valent:;;María del Cariilen;;;gol.;1890_01_03;Cárdenas;;
Día 4:;;;;;Vera;pat.;;;;;Día 4: De Santa Cruz, gol. San Francisco, pat. Vera: con;;San Francisco;;;gol.;1890_01_05;Santa Cruz;;
Día 7:;;N/A: ;;;Sanjurjo;cap.;;;;;Día 7: De Sagua, vaper Adela, cap. Sanjurjo: con & battiläs;;Adela;;;vaper;1890_01_08;Sagua;;
;;N/A: ;;;Marín;cap.;;;;;Guanes, vap Guaniguanico, cap. Marín: con 407;;Guaniguanico;;;vap.;1890_01_08;;;
;;N/A: ;;;Marantes;pat.;;;;;-Mariel, gol. Altagracia, pat. Marantes: con 150;;Altagracia;;;gol.;1890_01_08;;;
;;N/A: ;;;Borrell;pat.;;;;;Tja, gol. Castilla, pat. Borrell: con 1,300 sacso;;Castilla;;;gol.;1890_01_08;;;
;;N/A: ;;;Jofre;pát.;;;;;-Dimas, gol. Mercedita, pát. Jofre: con 1,200 sacos carbón;;Mercedita;;;gol.;1890_01_08;Dimas;;
;;N/A: ;;;Laucirica;pat.;;;;;-Sagua, gol. Marina, pat. Laucirica: con 140 pipas;;Marina;;;gol.;1890_01_08;Sagua;;
;;;;;Valent;pat.;;;;;-Cárdenas, gol. Juan Toralla, pat. Valent: con;;Juan Toralla;;;gol.;1890_01_08;Cárdenas;;
Día 8:;;N/A: ;;;Bilbao;cap.;;;;;"Día 8: De Sagua, vapor Clara; cap. Bilbao: con 244 tercios";;Clara;;;vapor;1890_01_09;Sagua;;
;;N/A: ;;;Calzada;pat.;;;;;-Manzanillo, gol. Margarita, pat. Calzada: con 800;;Margarita;;;gol.;1890_01_09;Manzanillo;;
;;N/A: ;;;Alemañy;pat.;;;;;-Nuevitas, gol. Juanita, pat. Alemañy: con 100;;Juanita;;;gol.;1890_01_09;Nuevitas;;
;;N/A: ;;;Ostra;pat.;;;;;Teja goleta J. Catalina, pat. Ostra: con 800 sacos;;J. Catalina;;;goleta;1890_01_10;;;
Día 10:;;N/A: ;;;Acuña;pat.;;;;;Día 10: De Sag a goleta María Andrea, pat. Acuña: con 200;;María Andrea;;;goleta;1890_01_11;Sag;;
;;N/A: ;;;Castillo;pat.;;;;;Manzanillo gta. Blanca, pat. Castillo: con 2200;;Blanca;;;gta.;1890_01_11;Manzanillo;;
Día 11:;;N/A: ;;;Ruiz;pat.;;;;;Día 11: De Dimas goleta Dos Hermanas, pat. Ruiz: con 700;;Dos Hermanas;;;goleta;1890_01_12;Dimas;;
;;N/A: ;;;Menayacon;pat.;;;;;-Sierra Morena goleta Habanera, pat. Menayacon 921 sacos carbón.;;Habanera;;;goleta;1890_01_12;;;
;;N/A:  | N/A: ;;;Sanjurjo;cap.;;;;;-Sagua, vapor Adela, cap. Sanjurjo: con 383 tercios tabaco y efectos.;;Adela;;;vapor;1890_01_14;Sagua;;
