arrival_date;arrival_date_calc;cargo_list;crew_number;forced_arrival;master_name;master_role;parsed_text;passenger_account;publication_day;quarantine;raw_text;ship_flag;ship_name;ship_tons_capacity;ship_tons_unit;ship_type;source_file;travel_departure_port;travel_duration_unit;travel_duration_value
;;;;;Alamany;pat.;;;;;-Sierra Morena, gol. Matilde, pat. Alamany: con;;Matilde;;;gol.;1889_01_01;Sierra Morena;;
;;;;;Inclan;pat.;;;;;-C.b.fias, gol. Caballo Marino, pat. Inclan: con;;Caballo Marino;;;gol.;1889_01_01;;;
;;;;;Valent;pat.;;;;;-Cárdenas, gol. María del Carmen, pat. Valent:;;María del Carmen;;;gol.;1889_01_01;Cárdenas;;
;;N/A:  | N/A:  | N/A: ;;;Bernaza;pat.;;;;;"-Puerto-Padre, gol. Trea Hermanas, pat. Bernaza: con 40 piezas cedro; 25 sacos maíz y efectos.";;Trea Hermanas;;;gol.;1889_01_01;Puerto-Padre;;
;;N/A:  | N/A: ;;;Guasch;pat.;;;;;-Baracoa, gol. Aguila, pat. Guasch: con 7,000 tejas y efectos.;;Aguila;;;gol.;1889_01_03;Baracoa;;
;;;;;Ginesta;cap.;;;;;Caibarión, vap. Clara, cap. Ginesta: con efoctos.;;Clara;;;vap.;1889_01_03;Caibarión;;
Día 3:;;N/A: ;;;Ferrer;pat.;;;;;Día 3: De Dimas, gol. Mercedita, pat. Ferrer: con 800 saCOB;;Mercedita;;;gol.;1889_01_04;Dimas;;
Día 4:;;N/A: ;;;Suárez;cap.;;;;;Día 4: De Sagua, vapor Elena Oms, cap. Suárez: con 100;;Elena Oms;;;vap.;1889_01_05;Sagua;;
;;N/A:  | N/A: ;;;Marantee;pat.;;;;;toror, 3 tercios tabaco y efectos. -Mariel, gol. Altagracia, pat. Marantee: con 130;;Altagracia;;;gol.;1889_01_05;;;
;;;;;Cantero;pat.;;;;;Cárdenas, gol. Aguila de Oro, pat. Cantero: con;;Aguila de Oro;;;gol.;1889_01_05;Cárdenas;;
;;N/A: ;;;Beneján;pat.;;;;;-Midtua, gol. Margarita, pat. Beneján: con 800;;Margarita;;;gol.;1889_01_05;Midtua;;
;;N/A: ;;;Guasch;pat.;;;;;-Baracoa, gol. Agaila, pat. Guasch: con 30,000;;Agaila;;;gol.;1889_01_05;Baracoa;;
