arrival_date;arrival_date_calc;cargo_list;crew_number;forced_arrival;master_name;master_role;parsed_text;passenger_account;publication_day;quarantine;raw_text;ship_flag;ship_name;ship_tons_capacity;ship_tons_unit;ship_type;source_file;travel_departure_port;travel_duration_unit;travel_duration_value
;;N/A:  | N/A: ;;;Alemany;pat.;;;;;De la Teja gol. Dos Amigos pat. Alemany: 900 sacos carbon y efectos.;;Dos Amigos;;;gol.;1885_01_03;Teja;;
;;N/A: ;;;Menaya;pat.;;;;;De Cabañas gol. Jóven Felipe, pat. Menaya: 1200 sacos azúcar.;;Jóven Felipe;;;gol.;1885_01_03;Cabañas;;
;;N/A:  | N/A: ;;;Serantes;pat.;;;;;De idem g. Feliz, pat. Serantes: 500 caballos leña: 160 tendidos soga majagua.;;Feliz;;;g.;1885_01_03;idem;;
;;N/A:  | N/A: ;;;Goya;cap.;;;;;"De Sagua vap. Adela, cap. Goya; 588 tercios tabaco y efectos.";;Adela;;;vap.;1885_01_03;Sagua;;
;;N/A:  | N/A: ;;;Colothat;pat.;;;;;De Baracoa g. Caspar, pat. Colothat: 25 tercerolas miel, 28 bocoyes azúcar.;;Caspar;;;g.;1885_01_03;Baracoa;;
;;N/A:  | N/A:  | N/A:  | N/A: ;;;Valent;p.;;;;;De Cárdenas gol. Victoria, p. Valent: 560 barriles y 380 medios barriles de azúcar, 7 fardos suela y efectos.;;Victoria;;;gol.;1885_01_04;Cárdenas;;
;;N/A:  | N/A: ;;;Romero;cap.;;;;;De Caibarien vap. Alava, cap. Romero: 810 tercios tabaco y efectos.;;Alava;;;vap.;1885_01_06;Caibarien;;
Día 31:;;N/A:  | N/A:  | N/A: ;;;Villamil;cap.;;;;;De Cuba y escalas vap. Mortera, cap. Villamil: 31 aacos cacao, 16 s. maiz y efectos.;;Mortera;;;vap.;1885_01_06;Cuba;;
Día XX:;;N/A: ;;;Fonrodona;pat.;;;;;De Playas de San Juan, gol. Panchita, pat. Fonrodona: 1000 s. carbon.;;Panchita;;;gol.;1885_01_06;Playas de San Juan;;
;;N/A: ;;;Colomar;pat.;;;;;De Sagua gol. Candita, pat. Colomar: 1000 sacos carbon.;;Candita;;;gol.;1885_01_06;Sagua;;
;;N/A: ;;;Pages;pat.;;;;;De Sagua gol. Segunda Rosa, pat. Pages: 1000 sacos carbon.;;Segunda Rosa;;;gol.;1885_01_06;Sagua;;
Día null:;;N/A: ;;;Riera;pat.;;;;;De idem gol. San Francisco, pat. Riera: 1000 sacos idem.;;San Francisco;;;gol.;1885_01_06;idem;;
Día null:;;N/A: ;;;Estéban;pat.;;;;;De idem gol. Vicenta, pat. Estéban: 800 s. id.;;Vicenta;;;gol.;1885_01_06;idem;;
;;N/A: ;;;Villalonga;pat.;;;;;De Playas de San Juan, g. Agustina, pat. Villalonga: 800 s. carbon.;;Agustina;;;g.;1885_01_06;Playas de San Juan;;
;;N/A: ;;;Roca;p;;;;;De la Teja g. Gallego. p Roca: 800 s. carbon.;;Gallego.;;;g.;1885_01_06;la Teja;;
;;N/A:  | N/A:  | N/A: ;;;Cantero;p.;;;;;De Cárdenas g. Aguila de Oro, p. Cantero: 6000 piés maderas, 10 pipas aguardiente y efectos.;;Aguila de Oro;;;g.;1885_01_06;Cárdenas;;
;;N/A:  | N/A: ;;;Alemany;pat.;;;;;De idem g. Mercedita pat. Alemany. 630 sacos azúcar, 30 pipas aguardiente.;;Mercedita;;;g.;1885_01_06;idem;;
Día XX:;;N/A: ;;;Vich;pat.;;;;;De Cabañas g Caridad, pat. Vich: 450 s. azúcar.;;Caridad;;;g;1885_01_06;Cabañas;;
;;N/A: ;;;Covas;pat.;;;;;De Bahia Honda g. Doloritas, pat. Covas: 400 caballos leña.;;Doloritas;;;g.;1885_01_06;Bahia Honda;;
Día 01:;;N/A:  | N/A:  | N/A:  | N/A:  | N/A: ;;;Mas;pat.;;;;;De Manati g. Jóven Blanca, pat. Mas: 200 atravesaños, 500 caballos leña, 12 piezas cedro, 150 sogas majagna y efectos.;;Jóven Blanca;;;g.;1885_01_06;Manati;;
Día XX:;;N/A:  | N/A: ;;;Lloret;pat.;;;;;De Mantua g. Angelita pat. Lloret: 456 tercios tabaco 38  s.  miraguano.;;Angelita;;;g.;1885_01_08;Mantua;;
;;N/A:  | N/A:  | N/A:  | N/A: ;;;Inclan;p.;;;;;De Cabañas g. Caballo Marino, p. Inclan: 140 tercios tabaco. 375 sacos azúcar, 20 pipa aguardiente y efectos.;;Caballo Marino;;;g.;1885_01_08;Cabañas;;
;;N/A:  | N/A:  | N/A: ;;;Ruiz;p.;;;;;De Mántua  g. Amable Rosita, p. Ruiz: 700 8. carbon, 201  tercios  tabaco. 30 caballos leña.;;Amable Rosita;;;g.;1885_01_08;Mántua;;
;;N/A: ;;;Amengual;pat.;;;;;De Mántua g. María Mazoni, pat. Amengual: 900 sacos  carbon.;;María Mazoni;;;g.;1885_01_08;Mántua;;
Día null:;;N/A: ;;;Guinart;pat.;;;;;De Jaimanitas g. San José, pat. Guinart: 5000 ladrillos .;;San José;;;g.;1885_01_08;Jaimanitas;;
;;N/A:  | N/A: ;;;Colomar;pat.;;;;;De Baracoa g. Gaspar, pat. Colomar: 180 s. azúcar, 12 tercerolas miel.;;Gaspar;;;g.;1885_01_08;Baracoa;;
;;;;;Lopez;p.;;;;;De Cárdenas g, Amado Antonio, p. Lopez, en lastre.;;Amado Antonio;;;g;1885_01_08;Cárdenas;;
;;;;;Ventura;pat.;;;;;De  Bahía Honda g. Cinco Hermanos, pat. Ventura, en Lastre;;Cinco Hermanos;;;g.;1885_01_08;Bahía Honda;;
Día null:;;N/A: ;;;Santos;pat.;;;;;De Cabañas g. Nuestra Señora del Cármen, pat Santos: 626 s. azúcar.;;Nuestra Señora del Cármen;;;g.;1885_01_08;Cabañas;;
;;N/A:  | N/A:  | N/A: ;;;Grandal;pat.;;;;;De Moron g. Enriqueta pat. Grandal: 21 cuarterolas miel de abeja, 42 arrrobas cera, 100 paquetes tablillas y efectos.;;Enriqueta;;;g.;1885_01_08;Moron;;
;;N/A:  | N/A: ;;;Unibaso;cap.;;;;;"De Malasa guas vapor Bahía-Honda, cap. Unibaso; 288 tercios tabaco y 12 pipas aguardiente.";;Bahía-Honda;;;guas;1885_01_09;Malasa;;
;;N/A: ;;;Zaragoza;p.;;;;;De Cárdenas gta. Isla de Cuba, p. Zaragoza, con 16 pipas de aguardiente.;Cuba;Isla de Cuba;;;gta.;1885_01_10;Cárdenas;;
;;N/A:  | N/A: ;;;Valenti;p.;;;;;De Cárdenas gta. María del Cármen, p. Valenti, con 400 sacos azúcar, 7 fardes enela v efectos.;;María del Cármen;;;gta.;1885_01_10;Cárdenas;;
;;N/A:  | N/A: ;;;;;;;;;De Sagna vap. Adela, ap. Goya, con 472 tercios tabaco y efectos,;;Adela;;;vap.;1885_01_10;Sagna;;
;;N/A:  | N/A:  | N/A: ;;;Maaip;patrón;;;;;De Santa Cruz goleta Jóven Salvador, patron Maaip: 90 fanegas maiz, 12 sacos frijoles y 8 tercerolas miel abeja,;;Jóven Salvador;;;goleta;1885_01_11;Santa Cruz;;
;;N/A: ;;;Salva;p.;;;;;"De Sierra Morena g. Maria Teresa, p. Salva; 800 sacos azúcar.";;Maria Teresa;;;g.;1885_01_11;Sierra Morena;;
;;N/A: ;;;Menaya;p.;;;;;De Sierra Morena g. Habanera, p. Menaya: 600 sacos carbon.;;Habanera;;;g.;1885_01_11;Sierra Morena;;
;;N/A: ;;;Monaya;p.;;;;;De Cabañas g. Jóven Felipe, p. Monaya: 1,100 sacos azúcar.;;Jóven Felipe;;;g.;1885_01_11;Cabañas;;
Día null:;;N/A:  | N/A:  | N/A: ;;;Alboriza;cap.;;;;;De Cuba y escalas vapor Avilés, cap. Alboriza: 34 fardos cera, 27 sacos carbon y efectos.;;Avilés;;;vapor;1885_01_11;Cuba;;
;;N/A:  | N/A: ;;;Marin;cap.;;;;;De Guanes vapor Guaniguanico, capitan Marin: 230 tercios tabaco y efectos.;;Guaniguanico;;;vapor;1885_01_11;Guanes;;
;;N/A:  | N/A: ;;;Romero;cap.;;;;;De Caibarien vap. Alava, cap. Romero: 622 tercios rabaco  y efectos.;;Alava;;;vap.;1885_01_13;Caibarien;;
;;;;;Alemañy;pat.;;;;;"De Canasi gol. Inés, patron Alemañy; en lastre.";;Inés;;;gol.;1885_01_13;Canasi;;
;;N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A: ;;;Moll;pat.;;;;;De Nuevitas gol. Dolores, pat. Moll: 30 sacos carbon, 50 caballos leña, 95 pacas guano, 124 lechones, 42 tercerolas mill y efectos.;;Dolores;;;gol.;1885_01_13;Nuevitas;;
Día XX:;;N/A:  | N/A: ;;;Felicó;pat.;;;;;De Mantua gol. Especulacion, patron Felicó: 200 tercios de tabaco, 100 caballos leña.;;Especulacion;;;gol.;1885_01_13;Mantua;;
;;N/A:  | N/A:  | N/A:  | N/A: ;;;Planas;patrón;;;;;De la Mulata goleta Dolores, patron Planas: 60 miraguano. 30 yugos. 200 caballos leña y efectos.;;Dolores;;;goleta;1885_01_13;Mulata;;
;;N/A:  | N/A:  | N/A: ;;;Juan;pat.;;;;;De Cabañas gol. Esmeralda, patron Juan: 620 sacos azúcar. 10 pipas aguardiente, 42 tercios tabaco.;;Esmeralda;;;gol.;1885_01_13;Cabañas;;
;;N/A: ;;;Vera;pat.;;;;;De Sierra Morena goleta Anita, patron Vera: 400 88cos azúcar.;;Anita;;;goleta;1885_01_13;Sierra Morena;;
;;N/A: ;;;Otero;pat.;;;;;De Sagua gol. María Andrea, patron Otero: 1000 sacos  carbon;;María Andrea;;;gol.;1885_01_13;Sagua;;
Día null:;;N/A: ;;;Aguiar;pa'ron;;;;;De Carahatas gol. Júcaro. pa'ron Aguiar: 200 sacos carbon .;;Júcaro;;;gol.;1885_01_13;Carahatas;;
;;N/A: ;;;Simó;pat.;;;;;De Sagua gol. Ignacita. patron Simó: 1400 sacos carbon.;;Ignacita;;;gol.;1885_01_13;Sagua;;
;;N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A: ;;;Jerez;patron;;;;;De Punta Alegre gta. Josefa, patron Jerez, 45 palos, 200 arrobas cera, 190 cerdos, 500 dnas. esponjas, 100 raoimos plátanos, 100 caballos leña y efectos.;;Josefa;;;gta.;1885_01_14;Punta Alegre;;
;;N/A: ;;;Alemañу;pat.;;;;;De Playas de San Juan, gol. Teresita, pat. Alemañу 800 sacos carbon.;;Teresita;;;gol.;1885_01_15;Playas de San Juan;;
Día null:;;N/A:  | N/A: ;;;Cuevas;pat.;;;;;De Cárdenas gol. Angelita, pat Cuevas: 31 bocores coñac y efectos.;;Angelita;;;gol.;1885_01_15;Cárdenas;;
;;N/A: ;;;Pajol;pat.;;;;;De Jaruco gta. Golondrina, patron Pajol. 300 caballos leña.;;Golondrina;;;gta.;1885_01_16;Jaruco;;
;;N/A:  | N/A: ;;;Golla;cap.;;;;;De Sagua vapor Adela, cap. Golla, 353 tercios tabaco y efectos.;;Adela;;;vapor;1885_01_16;Sagua;;
;;N/A:  | N/A:  | N/A:  | N/A: ;;;García;cap.;;;;;De Cuba y escalas vapor Manuela, cap. García, 81 8. cacao, 50 toros, 13 s. y 14 cajas cera.;;Manuela;;;vapor;1885_01_16;Cuba;;
;;N/A:  | N/A: ;;;Jorge;p.;;;;;De Carahatas gta. Teresita, p. Jorge, con 669 eacos y 90 bocoyes azúcar.;;Teresita;;;gta.;1885_01_22;Carahatas;;
;;N/A: ;;;Cabrera;p.;;;;;De la Teja goleta Castilla, p. Cabrera: 1,000 sacos carbon.;;Castilla;;;goleta;1885_01_23;la Teja;;
;;N/A:  | N/A: ;;;Llinas;p.;;;;;De Manzanillo g. Francisca Benazar, p. Llinas: 1,171 atravesaños y efectos.;;Francisca Benazar;;;g.;1885_01_23;Manzanillo;;
;;N/A: ;;;Bernazar;p.;;;;;De Mantua g. Dos Hermanas, p. Bernazar: 800 6acos. carbon.;;Dos Hermanas;;;g.;1885_01_23;Mantua;;
;;N/A: ;;;Mayana;p.;;;;;De Sagua g. Segunda Isabel, p. Mayana: 1,000 sacos carbon.;;Segunda Isabel;;;g.;1885_01_23;Sagua;;
;;N/A: ;;;Calvet;p.;;;;;De Mántua g. Francisca Gener, p. Calvet: 800 eacов carbon.;;Francisca Gener;;;g.;1885_01_23;Mántua;;
;;N/A: ;;;Colomar;p.;;;;;De Baracoa g. Gaspar, p. Colomar: 18 bocoyes azúcar. y efectos.;;Gaspar;;;g.;1885_01_23;Baracoa;;
;;N/A:  | N/A: ;;;Goya;cap.;;;;;De Sagua vapor Adela, capitan Goya: 242 tercios tabaco y efectos.;;Adela;;;vapor;1885_01_23;Sagua;;
;;N/A: ;;;Unibaso;cap.;;;;;De Malas Aguas vapor Bahia Honda, cap. Unibaso. 247 tercios tabaco.;;Bahia Honda;;;vapor;1885_01_24;Malas Aguas;;
Día XX:;;N/A:  | N/A: ;;;Fuste;pat.;;;;;De Bajas gta. Carmita, pat. Fuste: 203 tercios tabaco y 600 sacos carbon.;;Carmita;;;gta.;1885_01_24;Bajas;;
;;N/A:  | N/A:  | N/A: ;;;Pujol;pat.;;;;;De Santa Lucía gta. Carmits, pat Pujol: 100 c: ballos leña, 100 palos y 100 quintales hierro viejo.;;Carmits;;;gta.;1885_01_24;Santa Lucía;;
;;N/A:  | N/A:  | N/A: ;;;Riera;pat.;;;;;De Mántua gta. Dos Isabelas, pat. Riera: 130 bo oye 1. 10 medios y 10 cuartos id. aguardiente.;;Dos Isabelas;;;gta.;1885_01_24;Mántua;;
;;N/A: ;;;Bernazar;p.;;;;;De Mantua g. Dos Hermanas, p. Bernazar: 800 6: co carbon.;;Dos Hermanas;;;g.;1885_01_24;Mantua;;
;;N/A:  | N/A:  | N/A: ;;;Va'ent;pat.;;;;;De Cárdenas gta. Victoria, pat. Va'ent: 457 zacos, 00 barriles y 4 cajas azúcar, y efectos.;;Victoria;;;gta.;1885_01_24;Cárdenas;;
;;N/A:  | N/A:  | N/A:  | N/A:  | N/A: ;;;Bernazar;pat.;;;;;De Paorto-Padre gta. Tres Hermanos, pat. Bernazar: 165 bocores miel 10 pipas aguardiente, 10 caballos leña, 320 sacos cáscara mangle y efectos.;;Tres Hermanos;;;gta.;1885_01_24;Paorto-Padre;;
;;N/A: ;;;Suarez;pat.;;;;;De Cabañas gta. Jóven Felipe, pat. Suarez: 1,100 sacos azúcar.;;Jóven Felipe;;;gta.;1885_01_24;Cabañas;;
;;N/A: ;;;Puig;pat.;;;;;De Sagua gta. Catalina, pat. Puig: 1,000 sacos carbon.;;Catalina;;;gta.;1885_01_24;Sagua;;
Día XX:;;N/A:  | N/A: ;;;Suao;pat.;;;;;De Cienfuegos gta. Pensativo, pat. Suao: 441 piezas madera caoba y cedro y 201 cajas aceite carbon.;;Pensativo;;;gta.;1885_01_24;Cienfuegos;;
;;N/A:  | N/A:  | N/A:  | N/A: ;;;Piñeyro;p.;;;;;"De San Cayetano, gta. Magdalena, p. Piñeyro, con 51 caballos leña; 5) sacos carbon 80 polines y efectos.";;Magdalena;;;gta.;1885_01_25;San Cayetano;;
