arrival_date;arrival_date_calc;cargo_list;master_name;master_role;publication_day;raw_text;ship_flag;ship_name;ship_type;source_file;travel_departure_port
;;N/A:  | N/A: ;Perrer;pat.;;Do Bahía Honda gol. Conchita, pat. Perrer, con 38 cuartos de miel ét adjas y 5 pipas de aguardiente.;;Conchita;gol.;1861_01_01;Bahía Honda
;;N/A: ;Oaua;pat.;;Do Barca bole Emilio, pat. Oaua, con 16 bocoyes de miel de purga.;;Emilio;bole;1861_01_01;Barca
;;N/A:  | N/A: ;Cabrera;pat.;;Do Cabanas bole Manuela Josefa, pat. Cabrera, con 40 pipas de aguardiente y 18 sacos du café.;;Manuela Josefa;bole;1861_01_01;Cabanas
;;N/A: ;Carrera;pat.;;Do Cabanas gol. Teresa Manuela, pat. Carrera, con 47 pipas de aguardiente.;;Teresa Manuela;gol.;1861_01_01;Cabanas
;;N/A:  | N/A:  | N/A: ;Viguéira;pat.;;Do Santa Cruz gol. Pepilla Alvaré, pat. Viguéira, con 50 bocoyes de miel de purga, 14 cuartorlas miel de abojas y 18 pipas de aguardiente.;;Pepilla Alvaré;gol.;1861_01_01;Santa Cruz
;;N/A: ;Sanchoz;pat.;;Do la Ortiga a gol. Doloritas, pat. Sanchoz, con 43 pipas de aguardiente.;;Doloritas;gol.;1861_01_01;la Ortiga
;;N/A: ;Juan;pat.;;Do Cárdenas gol. Roinita, pat. Juan, con 300 cajas de azcar.;;Roinita;gol.;1861_01_01;Cárdenas
;;N/A: ;Olivera;pat.;;Do Cabanas gol. Tercelta, pat. Olivera, con 46 pipas de aguardiente.;;Tercelta;gol.;1861_01_01;Cabanas
;;N/A:  | N/A:  | N/A: ;Barceló;pat.;;Do Baracos bole Carmita, pat. Barceló, con 22 pipas de aguardiente, 9 bocoyes de miel de purga y 9 cuartorlas miel de abojas.;;Carmita;bole;1861_01_01;Baracos
;;N/A: ;Lopez;pat.;;Do Cabanas gol. Cadallo Marino, pat. Lopez, con 900 cajas de azcar.;;Cadallo Marino;gol.;1861_01_01;Cabanas
;;N/A: ;Cusi;cap.;;De Cárdenas vapor Cárdenas, cap. Cusi, con 931 cajas de azúcar.;;Cárdenas;vapor;1861_01_03;Cárdenas
;;N/A:  | N/A: ;Pujol;pat.;;De Cárdenas gol. Araucana, pat. Pujol, con 420 cajas de azúcar y 10 bocuyas de idem.;;Araucana;gol.;1861_01_03;Cárdenas
;;N/A:  | N/A: ;Compañi;pat.;;De Mariel gol. Justica, pat. Compañi, 'con 189 cajas de azúcar y 10 bocuyas de idem.;;Justica;gol.;1861_01_03;Mariel
;;N/A: ;Cuello;pat.;;De Rio Blancu gol. Lugarda, pat. Cuello, con 551 tercios de tabaco.;;Lugarda;gol.;1861_01_03;Rio Blancu
;;N/A: ;Vidal;pat.;;De Bahia-Honda gol. Feliz, pat. Vidal, con 43 pipas de aguardiente.;;Feliz;gol.;1861_01_03;Bahia-Honda
;;N/A: ;Bascandell;pat.;;De Bahia-Honda gol. Carmita, pat. Bascandell, con 7 pipas de aguardiente.;;Carmita;gol.;1861_01_03;Bahia-Honda
;;N/A: ;Lopez;pat.;;De Carahatas gol. Tres Hermanas, pat. Lopez, con 9 cajas de azúcar.;;Tres Hermanas;gol.;1861_01_03;Carahatas
;;N/A: ;Torres;pat.;;De Guano gol. Trinidad, pat. Torres, con 400 tercios de tabaco.;;Trinidad;gol.;1861_01_03;Guano
;;N/A: ;Grandeis-co;pat.;;De la Mulata, Hinojal y Mariel gol. Potosi, pat. Grandeis-co, con 230 tercios de tabaco.;;Potosi;gol.;1861_01_03;la Mulata, Hinojal y Mariel
;;N/A: ;Calet;pat.;;De Cabanas balandra Fíor dela Risonada, pat. Calet, con 25 pipas de aguardiente.;;Fíor dela Risonada;balandra;1861_01_03;Cabanas
;;N/A:  | N/A: ;Cabral;p.;;De Sierra-Morena gol. Dos Amigos, p. Cabral, con 310 cajas de azúcar y 33 pipas de aguardiente.;;Dos Amigos;gol.;1861_01_04;Sierra-Morena
;;N/A:  | N/A: ;Tur;pat.;;"De Sagu de Tápano y Matanzas gol. Flor de Llaues; patron Tur, con 164 arrobas de cera y 9700 tabacos.";;Flor de Llaues;gol.;1861_01_04;Sagu de Tápano y Matanzas
;;N/A: ;Céballos;cap.;;De Cárdenas vapor Alfonso, cap. Céballos, con 886 cajas de azúcar.;;Alfonso;vapor;1861_01_05;Cárdenas
;;N/A:  | N/A:  | N/A: ;Fragas;pat.;;De Remedios gol. Sofa, pat. Fragas, con 199 tercios de tabaco, 10 arrobas de cera y 40 cútros.;;Sofa;gol.;1861_01_08;Remedios
;;N/A: ;Juan;pat.;;De Cárdenas gol. Generosa, pat. Juan, con 400 cajas de azúcar.;;Generosa;gol.;1861_01_08;Cárdenas
;;N/A: ;Lorenzo;pat.;;De Matanzas gol. Panchita, pat. Lorenzo, con 224 cajas de azúcar.;;Panchita;gol.;1861_01_08;Matanzas
;;N/A: ;Yujol;pat.;;Do Cárdenas gol. Olio, pat. Yujol, con 150 cajas de azúcar.;;Olio;gol.;1861_01_08;Cárdenas
;;N/A: ;Quevara;pat.;;Do Matanzas gol. Adela, pat. Quevara, con 625 cajas de azúcar.;;Adela;gol.;1861_01_08;Matanzas
;;N/A: ;Binschat;pat.;;De idem gol. Genorova, pat. Binschat, con 530 cajas do açúcar.;;Genorova;gol.;1861_01_09;idem
;;N/A: ;Cual;cap.;;De Cárdenas vap. Cárdenas, cap. Cual, con 1.410 cajas de artear.;;Cárdenas;vap.;1861_01_09;Cárdenas
;;N/A:  | N/A: ;Peña;pat.;;De Sierra Motona go', Molostadora, pat. Peña, con 130 cajas de azúcar y 23 pipas de guardiente.;;Molostadora;go';1861_01_09;Sierra Motona
;;N/A:  | N/A: ;Vadell;pat.;;Del Mariel gol. Quimina, pat. Vadell, con 316 cajas de azúcar y 4 quartelras miel de abojas.;;Quimina;gol.;1861_01_09;Mariel
;;N/A: ;Barceló;pat.;;De Baracca bote Carmita, pat. Barceló, con 34 bocoyos do azúcar.;;Carmita;bote;1861_01_09;Baracca
;;N/A: ;Inchústti;cap.;;De Remedios y Saguila Grande rap. Maisi, cap. Inchústti, con 11 tercerais miel de abojas.;;Maisi;rap.;1861_01_09;Remedios y Saguila Grande
;;N/A:  | N/A: ;;;;De Matanzas gol. Amalia, g. Belfast, con 656 cajas de azúcar y 310 sacos de café.;g.;Amalia;gol.;1861_01_10;Matanzas
;;N/A: ;Cevallos;cap.;;De Cárdenas vapor Alfonso, cap. Cevallos, con 612 cajas de azúcar.;;Alfonso;vapor;1861_01_11;Cárdenas
;;N/A: ;Badaró;p.;;De Canasi gol. Manuela (a) Prieta, p. Badaró, con 75 bo- coyes míc de purga.;;Manuela (a) Prieta;gol.;1861_01_11;Canasi
;;N/A: ;Loreira;p.;;Del Salto gol. Habanera, p. Loreira, con 6 pipas de aguardiente.;;Habanera;gol.;1861_01_11;Salto
;;N/A: ;Lledó;p.;;De Santa Lucía, Morrillo, Cabañas y Mariol gol. Nueva Conchita, p. Lledó, con 153 tercios de tabaco.;;Nueva Conchita;gol.;1861_01_11;Santa Lucía, Morrillo, Cabañas y Mariol
;;N/A:  | N/A:  | N/A: ;Concepción;p.;;De Manita y Cabañas gol. Pavorita, p. Concepción, con 212 tercios de tabaco, 6 argobas de cera y 24 cueros.;;Pavorita;gol.;1861_01_11;Manita y Cabañas
;;N/A: ;Cusi;cap.;;De Cárdenas vap. Cárdenas, cap. Cusi, con 606 cajas de azúcar.;;Cárdenas;vap.;1861_01_12;Cárdenas
;;N/A: ;Puyol;p.;;De Cárdenas gol. Araucana, p. Puyol, con 423 cajas de azúcar.;;Araucana;gol.;1861_01_12;Cárdenas
;;N/A:  | N/A:  | N/A: ;González;p.;;Del Mariel gol. Altagracia, p. González, con 93 cajas de azúcar, 69 bocoyes id. y 6 quarteros miel de abejas.;;Altagracia;gol.;1861_01_12;Mariel
;;N/A: ;Carbonell;p.;;De Italia-Honda gol. Ignacita, p. Carbonell, con 141 cajas de azúcar.;;Ignacita;gol.;1861_01_12;Italia-Honda
;;N/A:  | N/A: ;Juan;p.;;De Cabanas gol. César, p. Juan, con 330 cajas de azúcar y 15 pipas aguardiente.;;César;gol.;1861_01_12;Cabanas
;;N/A: ;Palacios;p.;;De Canasi gol. Josefa, p. Palacios, con 64 bocoyes miel de purga.;;Josefa;gol.;1861_01_12;Canasi
;;N/A:  | N/A: ;Osuna;p.;;De Banes bote Emilio, p. Osuna, con 61 cajas de azúcar y 10 pipas de aguardiente.;;Emilio;bote;1861_01_12;Banes
;;N/A:  | N/A:  | N/A: ;Ruiz;p.;;De Cabanas bal. Rodia, p. Ruiz, con 40 cajas de azúcar, 30 pipas de aguardiente y 10 saos café.;;Rodia;bal.;1861_01_12;Cabanas
;;N/A:  | N/A: ;Arrilaga;cap.;;De Cuba, Olibara y Nuevitas vap. Pájaro del Océano, cap. Arrilaga, con 120 tercios tabaco y 32 arrobas cera.;;Pájaro del Océano;vap.;1861_01_12;Cuba
