arrival_date;arrival_date_calc;cargo_list;master_name;master_role;publication_day;raw_text;ship_flag;ship_name;ship_type;source_file;travel_departure_port
;;N/A: ;Peterson;cap.;;cap. Peterson, trip. 20, tons. 621, con carga á R.;;;;1893_01_01;
;;N/A: ;Alegría;cap.;;ra, cap. Alegría, trip. 38, tons. 1,806, con carga,;;;;1893_01_01;
Día 19:;;N/A: ;Bayona;cap.;;Día 19: De Coruña y escalas, en 20 días, vap. esp. San Franeisco, cap. Bayona, trip. 70, tons. 1,671. con carga, á M. Calvo y Comp.;esp.;San Franeisco;vap.;1893_01_03;Coruña
;;N/A:  | N/A: ;Rogers;cap.;;Meggee, cap. Rogers, trip. 12, tons. 1,026, con;;Meggee;;1893_01_03;
Día 3:;;N/A:  | N/A:  | N/A: ;Curtis;cap.;;-Nueva-York. en 3 días, vap. amer. City of Washington, cap. Curtis, trip. 62, tons. 1,743, con;amer.;City of Washington;vap.;1893_01_03;Nueva York
Día 4:;;N/A: ;Mc Intosh;cap.;;-Veracruz y escalas, en 4 días, vap. amer. Orizaba, cap. Mc Intosh, trip. 65, tons. 2,334, con carga, á Hidalgo y Comp.;amer.;Orizaba;vap.;1893_01_03;Veracruz
;;N/A: ;Mc Danald;cap.;;B., cap. Mc Danald, trip. 10, tons. 121, con carga, á R. Trnffin y Comp.;;;;1893_01_03;
Día 82:;;N/A: ;Albi;cap.;;-Alicante, en 82 días, gol. esp. Pepe Tono, capitán Albi, trip. -- tons. 241, con carga, á San;esp.;Pepe Tono;gol.;1893_01_03;Alicante
Día 2:;;;Haulon;cap.;;Día 2: De Cayo-Hueso y Tampa, en 1 días, vapor amerieano Mascotte, cap. Haulon, trip. 42, tons. 520,;amerieano;Mascotte;vapor;1893_01_03;Cayo-Hueso y Tampa
Día 19:;;;Chevalier;cap.;;-Burdeos y escalas, en 19 días, vapor froncés París, cap. Chevalier, trip. 119, tons. 2,662, con;francés;París;vapor;1893_01_03;Burdeos
;;;Peterson;cap.;;Colonia, cap. Peterson, trip. 34, tons. .., Coll ---;;;;1893_01_05;Colonia
Día 5:;;N/A: ;70;cap.;;-Nueva-York, en 5 dias, vapor-correo esp. Panamá, cap. 70, tons. ..., con carga general, á;esp.;Panamá;vapor-correo;1893_01_06;Nueva York
Día 16:;;;Izaguirre;cap.;;Santander y escalas en 16 días vap. esp. Montevideo, cap. Izaguirre, trip. 132, tons. 1316, con;esp.;Montevideo;vap.;1893_01_06;Santander
Día 12:;;;Stowkey;cap.;;Londres y Amberes, en 12 días, vap. ing. Wilesikue, cap. Stowkey, trip. 28, tons. 1882, con;ing.;Wilesikue;vap.;1893_01_11;Londres
;;;Chirapuzo;cap.;;-Matanzas, vap. esp. Gaditano, cap. Chirapuzo.;esp.;Gaditano;vap.;1893_01_11;Matanzas
;;;Staples;cap.;;-Nueva Orleans, vap. amer. Aransas, cap. Staples.;amer.;Aransas;vap.;1893_01_12;Nueva Orleans
Día 12:;;N/A: ;Stevens;cap.;;Día 12: De Nueva York, en 4 días, vap. amer. Séneca, capitán Stevens, trip. 80, tons. 1,912, con carga general, á Hidalgo y Comp;amer.;Séneca;vap.;1893_01_13;Nueva York
Día 3:;;N/A:  | N/A:  | N/A: ;Hansen;cap.;;-Veracruz y escalas, en 3 días, vap. amer. Yumurf, cap. Hansen, trip. 72, tons. 2,332, con carga;amer.;Yumurf;vap.;1893_01_13;Veracruz
Día 12:;;;Goul;cap.;;Día 12: Para Panzacola, gol. ing. Mayrtle M., cap. Goul..;ing.;Mayrtle M.;gol.;1893_01_13;Panzacola
;;;Dukerhire;cap.;;Mobila, gol. amer. Alice Mc Donald, cap. Dukerhire.;amer.;Alice Mc Donald;gol.;1893_01_13;
Día 13:;;N/A: ;Chaney;cap.;;Día 13: De Baltimore, en 19 días, gol. amer. Hattie P. Simpson, cap. Chaney, trip. 11, tous. 122, con carbón,;amer.;Hattie P. Simpson;gol.;1893_01_14;Baltimore
;;N/A: ;Morris;cap.;;cap. Morris, trip. 5, tons. 121, con madera, á L.;;;;1893_01_14;
;;N/A: ;;cap.;;Seamen, cap...., trip. 8, tons. 615, con madera, á la orden.;;Seamen;;1893_01_14;
;;N/A: ;Corordo;cap.;;pañol Reina María ristina, cap. Corordo, tripulación 140, tons. 2,683, con carga general, á M.;;Reina María;pañol;1893_01_14;
Día 14:;;N/A:  | N/A: ;José Rodríguez;cap.;;DIA 14: De Barcelona y escalas, vapor esp. Ciudad de Barcelona, cap. José Rodríguez, trip. 57, tons. 2085,;esp.;Ciudad de Barcelona;vapor;1893_01_15;Barcelona
Día 18:;;;Mc;cap.;;Día 18: De N. York, en 4 días, vap. am. Orizaba, cap. Mc;am.;Orizaba;vap.;1893_01_19;N. York
;;;Hamnoud;cap.;;cap. Hamnoud, trip. 50, tons. 672, en lastre, á;;;;1893_01_20;
Día 6:;;N/A:  | N/A: ;Curtis;cap.;;-Matanzas, en 6 horas, vap. aшer. City of Washington, cap. Curtis, trip. 66, 1ons. 1,743, con;;City of Washington;vap.;1893_01_20;Matanzas
;;;Allén;cap.;;-Nueva-York, vap. amer. Yucatán, cap. Allén.;amer.;Yucatán;vap.;1893_01_20;Nueva York
