arrival_date;arrival_date_calc;cargo_list;master_name;master_role;publication_day;raw_text;ship_flag;ship_name;ship_type;source_file;travel_departure_port
;;N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A: ;on.;cap.;;Bro 39.- De Guyo-Huero vir. am. Neptune, cap. on. 35. con perado, a los Sres. Schnebeliusy C.A. Inmig. en 6 dias berg. am. John Baich, capitan op. 169, con maderas, a los Sres. S. C. Burnham, y land ou 16 dias berg. am. Forest City, cap. Bais, ou carrasas, 4 D. J. M. Morales y comp. Mis en 39 dias berg. emp. Ban Jom, cap. Zabala, on frutos, a D. J. de la Portilla—Pascal. A ascofa en 10 maderas, am. Rowlais, cap. Drink- l. 179, con maderas, A.D. S. C. Burnham y comp. De Nueva-York en 3 dias vapor am. Quaker-City, Reid. ton. 1423, con efectos, a D. I. M. Zangrulis y asaj. 57.;am.;Neptune;berg.;1861_01_01;Guyo-Huero
Día 8:;;N/A:  | N/A:  | N/A:  | N/A:  | N/A: ;Car- l. 287;cp.;;York en 8 dias berg. am. S. C. Adams, cp. Car- l. 287, con maderas. A la señora Vlada de Horn 6 y Pto. Rico en 41 dias frag. cep. Victorina, cap. ton. 253, con efectos, a los Sres. Polisoc y comp. -nzanillo en 8 dias pol. cep. Ropita, ep. Guverman, con lema & los Sres. Ganel y Garvaka. -Iland en 17 dias berg. am. Canimar, ep. Perkin- .24, con envase, a los Sres. Don I. M. Zangrulis y a. -Conduce al capitán y 3 mariperos del pail. am. r. que navegando de Bath para Boston se perdí en 12 y loaghad 74: 10 in. 5 14 millon del cabo Eliza-;am.;S. C. Adams;berg.;1861_01_01;York
Día 10:;;N/A:  | N/A: ;Manau;cap.;;De Curazao en 10 días pol. esp. Anita, cap. Manau, ton. 153, con sál. los Sres. Escaturiza y Serpa.;esp.;Anita;pol.;1861_01_02;Curazao
Día 10:;;N/A: ;Miller;cap.;;De Bath en 10 días barca amor thie, cap. Miller, ton. 458, c 5 envases, á D. J. M. Morales y comp.;;amor thie;barca;1861_01_02;Bath
Día 32:;;N/A: ;Hamon;cap.;;De Cardiff en 32 días berg. francés Pollux, cap. Hamon, ton. 198, con carbon al cap.;francés;Pollux;berg.;1861_01_02;Cardiff
Día 21:;;N/A: ;Lewis;cap.;;De Portland en 21 días berg. am. George Thomas, cap. Lewis, ton. 934, con envases á los Sres. Gibson y Fisher.;am.;George Thomas;berg.;1861_01_02;Portland
Día 57:;;N/A: ;Bombarello;cap.;;De Cardiff en 57 días berg. aust. Pravolavini, cap. Bombarello, ton. 365, con carbon al cap.;aust.;Pravolavini;berg.;1861_01_02;Cardiff
Día 28:;;N/A: ;Bradley;cap.;03-01-YYYY;Enero 3.- De Wiscasset en 25 días berg. am. J. M. Sawyer, cap. Bradley, ton. 231, con envasos a los Sres. S. y cp.;am.;J. M. Sawyer;berg.;1861_01_04;Wiscasset
Día 7:;;N/A: ;Reed;cap.;;De Panaacola en 7 días frag. am. W. E. Anderson, cap. Reed, ton. 462, con maderas a los Sres. S. C. Burnham y cp.;am.;W. E. Anderson;frag.;1861_01_04;Panaacola
Día 11:;;N/A: ;Foster;cap.;;De Portland en 11 días gol. am. J. A. Griffin, cap. Foster, ton. 296, con maderas, á D. J. Gómez y comp.;am.;J. A. Griffin;gol.;1861_01_04;Portland
Día 10:;;N/A: ;Tahbot;cap.;;De Portland en 10 días berg. am. S. H. Small, cap. Tahbot, ton. 197, con maderas, á los Sres. Guillen, Galvez y comp.;am.;S. H. Small;berg.;1861_01_04;Portland
Día 12:;;N/A: ;Captain Strong;cap.;;De Wiscasset en 12 días berg. am. E. M. Strong, cap. Captain Strong, ton. 266, con envasos, á D. J. N. Gómez y comp.;am.;E. M. Strong;berg.;1861_01_04;Wiscasset
Día 9:;;N/A:  | N/A: ;Chase;cap.;;Enerp 4.—De New-Port en 9 días frag. am. Martha Ann, cap. Chase, ton. 240, con vivieres y arcos, à D. S. C. Burhain y comp.;am.;Martha Ann;frag.;1861_01_05;New-Port
;;N/A: ;Rathburn;cp.;;De Cayo-Hucho viv. am. Wanderer, cp. Rathburn, ton. 33, con pecado, à los Sros. Schnabelins x cp.;viv.;Wanderer;am.;1861_01_05;Cayo-Hucho
Día 11:;;N/A: ;Staples;cp.;;De Belfast en 11 días berg. am. Deunarh, cp. Staples, ton. 318, con envase, à los Sres. S. C. Burnham y cp.;am.;Deunarh;berg.;1861_01_05;Belfast
Día 12:;;;;cap.;;De Wicaset en 12 días berg. amer. Phebo A. Page, cap.;amer.;Phebo A. Page;berg.;1861_01_06;Wicaset
Día 12:;;;Benson;cap.;;De Portland, en 12 días berg. amer. Bumpio, cap. Benson,;amer.;Bumpio;berg.;1861_01_06;Portland
;;;Williams;cap.;;De Cayo-Huano vivero amer. Rattler, cap. Williams, ton.;;Rattler;vivero;1861_01_06;Cayo-Huano
Día 35:;;;Mr.;cap.;;De Terranova en 35 días berg. ing. Ann Jonston, cap. Mr.;ing.;Ann Jonston;berg.;1861_01_06;Terranova
