arrival_date;arrival_date_calc;cargo_list;crew_number;forced_arrival;master_name;master_role;parsed_text;passenger_account;publication_day;quarantine;raw_text;ship_flag;ship_name;ship_tons_capacity;ship_tons_unit;ship_type;source_file;travel_departure_port;travel_duration_unit;travel_duration_value
;;N/A: ;;;Acuña;pat.;;;;;Do Caralt 8 gol. Marianita, pat. Acuña, 800 sacos carbon;;Marianita;;;gol.;1872_01_03;Caralt;;
;;N/A: ;;;Mentell;pat.;;;;;De la Teja go'. Maria, pat. Mentell, 600 racos carbɔn;;Maria;;;go';1872_01_03;Teja;;
;;N/A: ;;;Otero;pat.;;;;;Ds Rio de la Pa'ma gol. Margarita, pat. Otero, 600 82008 carbon;;Margarita;;;gol.;1872_01_03;Rio de la Pa'ma;;
;;N/A: ;;;Teach;pat.;;;;;Do Cardenas gol. Juanita, pat. Teach. 170 boc. miel de parga;;Juanita;;;gol.;1872_01_03;Cardenas;;
;;N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A: ;;;Vizquerra;pat.;;;;;Do Matanzas gol. Des Hormauss pat. Vizquerra, 1000 ar. tesejo, 500 c. azúcar, 20 serones lizas, 13 rollos jarcia, 3 tercio suo'a, 20. tabaco brova;;Des Hormauss;;;gol.;1872_01_03;Matanzas;;
;;N/A:  | N/A: ;;;Alsine;pat.;;;;;De Mantua gol: Afaria, pat. Alsine, 80) sacos carbon, 27Iterolos tabaco;;Afaria;;;gol.;1872_01_03;Mantua;;
;;;;;Cabrero;pat.;;;;;Do! Mariel gol. Mario, pat. Cabrero, on lastre;;Mario;;;gol.;1872_01_03;;;
;;N/A: ;;;Ferrer;pat.;;;;;De Banes Lote Coci.ia Manuela, pat Ferrer, 23 boroyes msscabado;;Manuela;;;Coci.ia;1872_01_03;Banes;;
;;N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A: ;;;Gonzalez;pat.;;;;;Do Sierra Morena gol. Sofa, pat. Gonzalez, 9 tosas, 2 tab'ones madera, s taburetes, 20. mueblos, 2 fardos carne. cajita maquinaria;;Sofa;;;gol.;1872_01_03;Sierra Morena;;
;;N/A: ;;;Llenras;pat.;;;;;De Arroyes viv. Carmen, pat. Llenras, 500 pescados vives;;Carmen;;;viv.;1872_01_03;Arroyes;;
;;N/A: ;;;Porez;pat.;;;;;De Arroyos viv. Alerta, pat. Porez, 500 peecados viтов;;Alerta;;;viv.;1872_01_03;Arroyos;;
;;N/A: ;;;Garriga;pat.;;;;;De Rio do la Palms gol. Isabolita, pat, Garriga. CCO Bacca carbon;;Isabolita;;;gol.;1872_01_03;Rio do la Palms;;
;;N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A: ;;;Garreton;cap.;;;;;De Cárdenas vapor Cárdenas. cap. Garreton, 9 los queros, 6 tercios idem, 3 fardos otroaza. 1 c. pinture, 1 bar, cerveza, 1 saco anis, 1 baul ropa y 2baules;;Cárdenas;;;vapor;1872_01_03;Cárdenas;;
;;N/A: ;;;Martin;p.;;;;;De Cárdenas g. Maria Josefa p. Martin, 900 varas ma dera del po's;;Maria Josefa;;;g.;1872_01_04;Cárdenas;;
;;N/A: ;;;Gorria;p.;;;;;De Bahia Honda g. Carmita p. Gorria 200 caballoa le53,;;Carmita;;;g.;1872_01_04;Bahia Honda;;
;;N/A: ;;;Duran;p.;;;;;De Baracoa g. Dolorita p. Duran, 16 pipas aguarţlier te;;Dolorita;;;g.;1872_01_04;Baracoa;;
;;N/A:  | N/A: ;;;Alemany;p.;;;;;"De Cárdenas gl. Jóven Pilar, p. Alemany; 5 pipas grasa y 3 cajas tejas. Dal Mariel gol. Quintina, p. Lopez; 3:3 cajas azúcar. Do Cárdenas vap. Cárdenas, oap. Garreton; 260 cajas azúcar, 6 terolos suela y vaqueta. 2 sombrereras, 2 bauLes ef:otos, 1 pavo, 1 oerdo, 1 palo, 11io idem y 1 molino.";;Jóven Pilar;;;gl.;1872_01_05;Cárdenas;;
;;N/A: ;;;Para;p.;;;;;De Cárdenas g. General la Mar, p. Para, 220 0.814. 03, 5 bars. y 20. con 2 garrafonoa melado.;;General la Mar;;;g.;1872_01_06;Cárdenas;;
