arrival_date;arrival_date_calc;cargo_list;master_name;master_role;publication_day;raw_text;ship_flag;ship_name;ship_type;source_file;travel_departure_port
Día 9:;;;L.;cap.;;-Nueva York en 9 dias berg. gol. J. B. Rabel, cap. L.;gol.;J. B. Rabel;berg.;1885_01_06;Nueva York
Día 17:;;N/A: ;Parker;cap.;;-Yarmont (N. O) en 17 dias berg, inglés Louise Coipel, cap. Parker. trip. 7, tons. 143, con carga general, & Lawton y Hno.;inglés;Louise Coipel;berg;1885_01_06;N. O
Día 5:;;;Albis;cap.;;Dia 5: De Málaga en 40 dias, berg. esp. Pepo Tono, cap. Albis;esp.;Pepo Tono;berg.;1885_01_07;Málaga
Dia 6:;;N/A: ;Baker;cap.;;Dia 6: De Nueva Orleans y escalas en 5 dias, vap. am. Hutchinson, cap. Baker, trip. 40 tons. 909 con carga general, á Lawton y Ho;am.;Hutchinson;vap.;1885_01_07;Nueva Orleans
Día 4:;;;Armstrong;cap.;;-Veracruz en 4 dias vap. ing. Esk, cap. Armstrong,;ing.;Esk;vap.;1885_01_07;Veracruz
Día C:;null;N/A: ;Aldecocea;cap.;null;Dia C: De Liverpool en 17 dias vap. esp. Navarro, cap. Aldecocea, trip. 41. tons. 2515, con carga general, & J. M.;esp.;Navarro;vap.;1885_01_08;Liverpool
;;N/A: ;Deaken;cap.;;cap. Deaken, trip. 58, tons. 1758, con carga general,;;;;1885_01_08;
Dia 8:;;N/A: ;Baker;cap.;;Dia 8: De Nueva York en 4 dias vap. am. Niágara, cap. Baker, trip. 55, tons. 1667, con carga general, á Todd,;am.;Niágara;vap.;1885_01_09;Nueva York
Día 16:;;N/A: ;Luzarraga;cap.;;-Liverpool en 16 días vap. esp. Guillermo, cap. Luzarraga, trip. 87, tons. 1183 con carga general à Deulofeu, hijo y Cp.;esp.;Guillermo;vap.;1885_01_09;Liverpool
;;N/A: ;Diaz;cap.;;cap. Diaz, trip. 6, tons. 43, con carga general, & M.;;;;1885_01_09;
;;N/A: ;Busquet;cap.;;"Cortés, cap. Busquet, trip. 63, tons. 2,087; con carga general á J. M. Avendaño y C";;Cortés;;1885_01_10;
Día 9:;;N/A:  | N/A:  | N/A:  | N/A: ;Reynolds;cap.;;Dia 9: De Veracruz y escalas en 6 dias vap. am. City of Alexandria, cap. Reynolds. trip. 57, tons. 1,705, con carga de tránsito, á Todd, Hidalgo y Cp.;am.;City of Alexandria;vap.;1885_01_11;Veracruz
;;N/A: ;Ugarte;cap.;;cap. Ugarte, trip. 40. tons. 1,882: con carga general,;;;;1885_01_13;
Dia 12:;;N/A: ;Staples;cap.;;Dia 12: De Nueva Orleans y escalas en 4 dias, vap. amer. Morgan, cap Staples, trip. 38, tons. 537: con carga general, á Lawton y Ho;amer.;Morgan;vap.;1885_01_13;Nueva Orleans
;;;Malnin;cap.;;cap. Malnin, trip. 9, tons. tone. 235, con carga al;;;;1885_01_14;
Día 8:;;N/A: ;A. Ramball;cap.;;cap. A. Ramball, trip. 8, tons. 420 con carbon á Santa Maria.;;;;1885_01_14;
Día 21:;null;N/A:  | N/A:  | N/A: ;Servan;cap.;null;1 ia 13: De Saint Nazaire y escalas en 21 dias vap. francés Golombie, cap. Servan. trip. 125, tona. 1887, con carga;francés;Golombie;vap.;1885_01_15;Saint Nazaire
;;N/A: ;Urrntibeascoa;cap.;;cap. Urrntibeascoa, trip. 46, tons. 624, con carga general, á R. de Herrera.;;;;1885_01_15;
;;N/A: ;Penzol;cap.;;cap. Penzol, trip. 95, tons. 3829, con carga general, á;;;;1885_01_15;
Día 20:;;;Wright;cap.;;Dia 20: De Cardiff en 22 dias vap. ing. Eglantine, cap. Wright,;ing.;Eglantine;vap.;1885_01_22;Cardiff
Día 1:;;N/A: ;Curtis;cap.;;-Cárdenas en un dín, vap. amer. Newport, cap. Curtis, trip. 60, tons. 1906, con azúcar de tránsito, á;amer.;Newport;vap.;1885_01_22;Cárdenas
Día 5:;;;;cap.;;Nueva York en 5 dias, vap. ing. Broomhouch, cap.;ing.;Broomhouch;vap.;1885_01_22;Nueva York
Día 1:;;;Lleal;cap.;;Matanzas en un dia vap. esp. Apolo, cap. Lleal,;esp.;Apolo;vap.;1885_01_22;Matanzas
Dia 22:;;N/A: ;Moret;cap.;;Dia 22: De Colon y escalas en 25 dias, vap. esp. M. L. Villaverde, cap. Moret, trip. 61, tons. 959: con carga general,;esp.;M. L. Villaverde;vap.;1885_01_23;Colon
Día 4:;;;;cap.;;Nueva York en 4 dias. vap. amer. Saratoga, cap.;amer.;Saratoga;vap.;1885_01_23;Nueva York
Día 5:;;;;cap.;;Santhomas y escalas en 5 dias, vap. ing. Eden, cap.;ing.;Eden;vap.;1885_01_23;Santhomas
Día 1:;;N/A:  | N/A:  | N/A:  | N/A: ;Bennington;cap.;;Cárdenas on 1 dia, vap. ing. Amethyst, cap. Bennington, trip. 24, tons. 872: con azúcar de tránsito, & Denlofen, hijo y C;ing.;Amethyst;vap.;1885_01_23;Cárdenas
Dia 23:;;;Aldaniz;cap.;;Dia 23: De Liverpool en 16 dias vap. esp. Guido, cap. Aldaniz,;esp.;Guido;vap.;1885_01_24;Liverpool
;;N/A: ;Deaken;cap.;;Puebla, cap. Deaken, trip. 64. tons. 1,756, con carga;;;trip.;1885_01_25;Puebla
;;;Frank Wilde;cap.;;cap. Frank Wilde, trip. 145, tons. 500 y monta 6 cañones.;;;;1885_01_25;
Día 13:;;N/A:  | N/A: ;Beckwen;cap.;;Filadelfia en 13 dias berg. amer. E. Cushing, capitan Beckwen, trip. 9. tons. 472, con carbon y bocoyes vacíos, a Henry B. Hamel.;amer.;E. Cushing;berg.;1885_01_25;Filadelfia
;;N/A: ;Wught;cap.;;cap. Wught, trip. 10, tons. 410, con madera, á Avilés y Hno.;;;;1885_01_25;
;;N/A:  | N/A: ;J. Athuter;cap.;;cap. J. Athuter. trip. 8, tons. 351, con carbon y bocoves vacíos, á Henry B. Hamel.;;;;1885_01_25;
