arrival_date;arrival_date_calc;cargo_list;master_name;master_role;publication_day;raw_text;ship_flag;ship_name;ship_type;source_file;travel_departure_port
Día 2:;;N/A: ;Ansuategui;cap.;;Día 2: Caibarién vapor Alava. cap. Ansuategui, con 480;;Alava;vapor;1895_01_03;Caibarién
;;;Benejan;pat.;;-Santa María, gol. Margarita, pat. Benejan, con;;Margarita;gol.;1895_01_03;
;;N/A: ;Román;pat;;-rroyos, gol. Lince, pat Román, con 500 sacos;;Lince;gol.;1895_01_03;rroyos
;;N/A:  | N/A: ;Alemany;pat.;;-Cárdenas, gol. Clio, pat. Alemany, con 56 bocayes aguardiente y efectos.;;Clio;gol.;1895_01_03;Cárdenas
;;N/A:  | N/A: ;Menaza;pat.;;-Pta. Alegre, gol. Almansa, pat. Menaza, 120 cedros y 400 paquetes tablillas.;;Almansa;gol.;1895_01_03;Pta. Alegre
;;N/A: ;Mas;pat.;;Nnevitas, gol. Tíuima, pat. Mas, con 400 reses y;;Tíuima;gol.;1895_01_03;Nnevitas
;;;Padron;pat.;;Congojas, gol. Joven Luisa, pat. Padron, con;;Joven Luisa;gol.;1895_01_03;Congojas
;;;Gomí;pat.;;-Mariel, gol. Joven Miguel. pat. Gomí, en lastre.;;Joven Miguel;gol.;1895_01_03;
;;N/A:  | N/A: ;Venturs;pat.;;STR Nuevitas gol. Manuela, pat. Venturs. 130 reses y efectos.;;Manuela;gol.;1895_01_05;Nuevitas
;;N/A: ;Padrón;pat.;;-Santa María gol. América, pat. Padrón 800 sacos;;América;gol.;1895_01_05;
;;N/A: ;Lorenzo;pat.;;-Congojas, gol. Rosita, pat. Lorenzo, 80 sacos;;Rosita;gol.;1895_01_05;Congojas
;;N/A:  | N/A:  | N/A:  | N/A: ;Moll;pat.;;-Nuevitas, gol. 16lores, pat. Moll, 1000 pies madera, 300 atravesaños, 55 sacos maiz y efectos.;;16lores;gol.;1895_01_05;Nuevitas
;;N/A: ;Villalonga;pat.;;-Berracos, gol. Isabelita, pat. Villalonga, 1000;;Isabelita;gol.;1895_01_05;
;;N/A: ;Sastro;pat.;;-Mariel, gol. Altagracia, pat. Sastro, 80 cuarterolas miel.;;Altagracia;gol.;1895_01_05;
;;;Inclán;pat.;;-Cabañas, gol. Rosita, pat. Inclán en lastre.;;Rosita;gol.;1895_01_06;Cabañas
;;N/A:  | N/A: ;Prieto;pat.;;Júcaro, gol. Blanca, pat. Prieto, 55,000 pies madera y 30 líos serones.;;Blanca;gol.;1895_01_06;Júcaro
;;N/A: ;Alemany;pat.;;-Berracos, gol. Delicias, pat. Alemany, 500 polines.;;Delicias;gol.;1895_01_06;Berracos
;;;Rigo;pat.;;Cabañas, gol. Condor, pat. Rigo, en lastre.;;Condor;gol.;1895_01_06;Cabañas
;;;Valent;pat.;;-Cárdenas, gol. María del Carmen, pat. Valent,;;María del Carmen;gol.;1895_01_06;Cárdenas
;;N/A: ;Alemany;pat.;;Sagua, gol. Panchita, pat. Alemany, 50 sacos de 6 Pal.;;Panchita;gol.;1895_01_06;Sagua
;;N/A:  | N/A:  | N/A:  | N/A: ;Viñela;cap.;;-Cnba, vapor Mortera, cap. Viñela, con 3874 Bcos azúcar, 163 bocoyes miel, 330 reses y efectos.;;Mortera;vapor;1895_01_09;Cnba
;;N/A: ;Santana;pat.;;-Arroyos gol. Joven Jaime, pat. Santana, 1000;;Joven Jaime;gol.;1895_01_09;Arroyos
;;N/A:  | N/A: ;Colomar;pat.;;-Ortigosa, gol. Doloritas, pat. Colomar, 300 caballos leña y efactos.;;Doloritas;gol.;1895_01_09;Ortigosa
;;N/A:  | N/A: ;Toro;pat.;;-San Cayetano, gol. Deseada, pat. Toro, 300 caballos leña y efectos.;;Deseada;gol.;1895_01_09;San Cayetano
;;N/A: ;Amengual;pat.;;-Bajas, gol. Carmita, pat. Amengual, 700 sacos;;Carmita;gol.;1895_01_11;Bajas
;;N/A: ;Zaragoza;pat.;;-Bajas, gol. Angalita, pat. Zaragoza, 400 sacos;;Angalita;gol.;1895_01_11;
;;N/A:  | N/A: ;Cardona;pat.;;-Guanes, gol. Especulación, pat. Cardona 400 sacos carbón y 50 caballos leña.;;Especulación;gol.;1895_01_11;Guanes
;;N/A:  | N/A:  | N/A:  | N/A:  | N/A: ;Bernaza;pat.;;-Puerto Padre, gol. Tres Hermanas, pat. Bernaza. 400 paquetes tablillas, 48 piezas cedro y caoba, 500 camones y efectos.;;Tres Hermanas;gol.;1895_01_11;Puerto Padre
;;N/A: ;Ros;pat.;;-Dimas, gol. Dos Amigos, pat. Ros, 800 sacos;;Dos Amigos;gol.;1895_01_11;
;;N/A: ;Portella;pat.;;-Arroyos, gol. Amable Rosita, pat. Portella, 800;;Amable Rosita;gol.;1895_01_11;Arroyos
;;N/A: ;Mandilego;pat.;;Cárdenas, gol. Unión, pat. Mandilego, 80 pipas;;Unión;gol.;1895_01_11;Cárdenas
;;;Alemany;pat.;;-Barracos, gol. María del Carmen, pat. Alemany,;;María del Carmen;gol.;1895_01_22;Barracos
;;N/A: ;Gil;pat.;;Banes, gol. Nautilus. pat. Gil, 200 sacos azúcar.;;Nautilus;gol.;1895_01_22;Banes
;;N/A: ;Gil;pat.;;-Banes, gol. 2 Isabeles, pat. Gil, 40 bocoyes miel.;;2 Isabeles;gol.;1895_01_22;Banes
Día 22:;;N/A: ;García;cap.;;Día 22: -Cuba vap. Avilés, cap. García, 2,000 sacos azúcar y efectos. -Nuevitas, gol. San Juan pal. Ginesta, E50 sacos azúcar y efectos -Dominica, gol María Magdalena, pat. Maran tes, 470 saccs azúcar. -Santa María, gol. Triaidad, pat. San'ana, 900 sacos carbón y 30 caballos leña. Punta de San Juan, gul San Francisco, patrón Ferrer. -Sagua, gol. José Riera, pat. Tur, 800 s. carbón. Cárdenas, gol. Reglana, pat. Alemañy, 500 sacoa carbón.;;Avilés;vap.;1895_01_23;Cuba
Día 26:;;N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A: ;García;cap.;;Dia 26: -Sagua, vap. Cosme Herrera, cap. García, 926 sacos azúcar, 95 pipas aguardiente, 617 tercios tabaco y efectos. Mariel, gol. María Magdalena, pat. Marantes, 60 bocoyes miel. -Corgejas, gol. Rosita, pat. Lorenzo, 800 sacos carbón. -Arroyos gol. Dos Hermanos, pat. Prats, 900 82cos carbón. San a María, gol. Joven Jaime, pat. Santana, 1000 sacos carbón. Mantus. gol. Lince, pat Román 700 s. carbón. -Congo a, gol. Joven Luisa, pat. Padrón, 1,000 sacos carbón. -Banes, gol. Mautilus, pat. Gil, 300 e. azúcar. -Sierra Morena, gol. Matilde, pat. Alemany, 6CO sacos azúcar. -Mariel, gol Altagracia, pat. Saatre, 120 cuarterolas miel.;;Cosme Herrera;vap.;1895_01_27;Sagua
Día 28:;;N/A: ;Ros;pat.;;Día 28. об -Dimas gol. Dos Amigos, pat. Ros, 800 s. carbón. -Congojas, gol. Rosita, pat. Lorenzo, 800 saces carbón. -Baracoa, gol. Fortuna, pat. Mayans, 50,000 cocos, 237 cajas petróleo, 54 sacos cacao, 115 barriles aceite coco z efectos. Sierra Morena,, gol. Habanero, pat. Monaya, 400 sacos azúcar. -Nuevitas, gol. Tínima, pat. Mas, 400 reses y efectos.;;Dimas;gol.;1895_01_29;
null;;N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A: ;Viñolas;cap.;null;20 -Nuevitas vapor Morters cap. Viñolas 4679 sacos >zúcar. Nuevitas vapor Avilés, cap. Sanjurjo, 2,000 sacos azúcar, 175 bocoyes miel y efectos. -Cahsños, gul. Condor pst. Rego 500 a. azúcar -Bajas, gal Esmeralda, pat. Mateu, 80 sacos carbón y 100 caballos leña -Babañas gol. Trafalgar pat. Deulofeu 36 pipast aguardiente. -Surra Morera gol. Maria Teresa pat. Juan 750 sacos azúcar. -Carahatas gol Tres Hermanos pat. Ricbo, 1000 sacos azúcar y 87 tercios tahaco -Banes. gol. Nautilus pat. Gil, 500 s. azúcar. -Mulata gol. Paquete de Nuevitas, pat. Orbay 20 yayas, 60 palos madera y ef ctcs -Malas Aguas, vap. Triton cap. Real 400 sacos azúcar y efectos.;null;Morters;vapor;1895_01_31;Nuevitas
;;;Blanco;pat.;;Domin'co, gol. Joven Magdalena, pat. Blanco,;;Joven Magdalena;gol.;1895_02_02;
;;N/A: ;Ruiz;pat.;;Bahía Honda, gol. Mercedita, pat. Ruiz 400 sacos azúcar;;Mercedita;gol.;1895_02_02;Bahía Honda
;;N/A: ;Portella;pat.;;-Arroyos gol. Amable Rosita, pat. Portella, 800;;Amable Rosita;gol.;1895_02_02;Arroyos
