arrival_date;arrival_date_calc;cargo_list;master_name;master_role;publication_day;raw_text;ship_flag;ship_name;ship_type;source_file;travel_departure_port
Día 31:;;N/A:  | N/A:  | N/A: ;Larragán;cap.;;"Día 31: De Sagua, vapor Clara, cap. Larragán: con 30 sacos azúcar; 100 tercios tabaco y efectos.";;Clara;vapor;1893_01_01;Sagua
;;N/A:  | N/A: ;Alemany;pat.;;-Sagua, gol. Engracia, pat. Alemany: con 9 estacas y 50 polines.;;Engracia;gol.;1893_01_01;Sagua
;;;Alemán;pat.;;-Granadillo, gol. Ignacia Alemán, pat. Mir: con;;Ignacia;gol.;1893_01_01;Granadillo
;;;Menaya;pat.;;Punta Larga, gol. Almanza, pat. Menaya: on;;Almanza;gol.;1893_01_01;Punta Larga
Día 2:;;N/A: ;Rom'n;pat.;;Día 2 De Arroyos, gol. Lince, pat. Rom'n: con 500 sacos;;Lince;gol.;1893_01_03;Arroyos
;;N/A: ;Vidal;pat.;;-Congojas, gol. Joven Luisa, pat. Vidal: con 1000;;Joven Luisa;gol.;1893_01_03;Congojas
;;N/A: ;Gonzalez;pat.;;-Morrillo, gol. Feliz, pat, Gonzalez: con 5000 pies;;Feliz;gol.;1893_01_03;Morrillo
Día 01:;;;Moré;pat.;;-Granadillo, gol. Joven Magdalena, pat. Moré:;;Joven Magdalena;gol.;1893_01_03;Granadillo
;;;Valent;pat.;;-Cárdenas, gol. Juan Toralla, pat. Valent: con;;Juan Toralla;gol.;1893_01_03;Cárdenas
;;;Rodríguez;pat.;;Matanzas, gol. Trinidad, pat. Rodríguez: en lastre.;;Trinidad;gol.;1893_01_03;Matanzas
;;N/A: ;Sastre;pat.;;Mariel, gol. Altagracia, pat. Sastre: con 170 tercios tabaco.;;Altagracia;gol.;1893_01_05;
;;;Ferrer;pat.;;Bahía-Honda, gol. Mercedita, pat. Ferrer: en;;Mercedita;gol.;1893_01_05;Bahía-Honda
;;;Marantes;pat.;;-Mariel, gol. María Magdalena, pat. Marantes: en;;María Magdalena;gol.;1893_01_05;
Día 5:;;N/A: ;Viñolas;cap.;;"Día 5 De Nuevitas, vapor Montera, cap. Viñolas; con 350";;Montera;vapor;1893_01_06;Nuevitas
;;N/A:  | N/A: ;Ventura;cap.;;"reses y efectos. -Cuba, vapor Manuela, cap. Ventura; con 180 reses y efectos.";;Manuela;vapor;1893_01_06;Cuba
;;N/A: ;Ruiz;pat.;;-Arroyos, gta. Dos Hermanas, pat. Ruiz: con 800;;Dos Hermanas;gta.;1893_01_06;Arroyos
Día 7:;;N/A:  | N/A: ;Ysrus;cap.;;Día 7: De Guanes, vapor Praviano, cap. Ysrus: con 361 tercios tabaco y efectos.;;Praviano;vap.;1893_01_08;Guanes
;;N/A: ;Marín;cap.;;Mantua, vapor Gunignadico, cap. Marín: con 540;;Gunignadico;vap.;1893_01_08;Mantua
;;N/A: ;Larragán;cap.;;-Sagua, vapor Clara, cap. Larragán: con 75 pipas;;Clara;vapor;1893_01_08;Sagua
;;;Bontempo;pat.;;-San Cayetano, gol. Gallego, pat. Bontempo: con;;Gallego;gol.;1893_01_08;San Cayetano
;;N/A: ;Zaragoza;pat.;;Bajus, gta. Angelita, pat. Zaragoza: con sacos;;Angelita;gta.;1893_01_11;
