arrival_date;arrival_date_calc;cargo_list;crew_number;forced_arrival;master_name;master_role;parsed_text;passenger_account;publication_day;quarantine;raw_text;ship_flag;ship_name;ship_tons_capacity;ship_tons_unit;ship_type;source_file;travel_departure_port;travel_duration_unit;travel_duration_value
;;N/A:  | N/A: ;;;Coll;cap.;;;;;De Sagaa vapor Cuba, capitan Coll-313 tercios tabe00, 0 rendidos majagua.;;Cuba;;;vapor;1882_01_06;Sagaa;;
;;N/A:  | N/A: ;;;Moll-144;p.;;;;;De Mariel goleta Joren Magdalena, p. Moll-144 bocoyes asticar, 58 terelos tabase.;;Joren;;;goleta;1882_01_06;Mariel;;
;;N/A:  | N/A: ;;;Bonet;patrón;;;;;De Matanzas goleta Iganeita, patron Bonet-30 becoyes azúcar, 50 pipas aguardiente.;;Iganeita;;;goleta;1882_01_06;Matanzas;;
;;N/A: ;;;Covas;patrón;;;;;De Gabacoa goleta Vinaros, patron Covas-10 fanegas maiz.;;Vinaros;;;goleta;1882_01_06;Gabacoa;;
;;;;;Colomar;pat.;;;;;De Cauati goleta Flor de Cárdenas, patron Colomar— ep lastre.;;Flor de Cárdenas;;;goleta;1882_01_06;Cauati;;
;;N/A:  | N/A:  | N/A: ;;;Rivar;p.;;;;;De Nuevitas goleta Dichoss, p. Rivar-500 caballos de lens, 10) atravesaños y efectos.;;Dichoss;;;goleta;1882_01_06;Nuevitas;;
;;N/A: ;;;Pisoire;pat.;;;;;De Cárdenas geleta Carmen, patten Pisoire-125 bocoves azúcar.;;Carmen;;;geleta;1882_01_06;Cárdenas;;
;;N/A: ;;;FonredosaP00;p.;;;;;De Teja goleta Nueva Providencia, p. FonredosaP00 sacos carbon.;;Nueva Providencia;;;goleta;1882_01_06;Teja;;
;;N/A: ;;;Martinex-com;pat.;;;;;De Barices rel. Coollia Manuela, pat. Martinex-com 10,000 ladrilles.;;Coollia;;;rel.;1882_01_08;Barices;;
;;N/A: ;;;Calzada;p.;;;;;De Sagus g. Júcaro, p. Calzada-1000 ascos de earben.;;Júcaro;;;g.;1882_01_08;Sagus;;
;;N/A:  | N/A:  | N/A: ;;;Alemany;p.;;;;;De Matanzas g. Maria, p. Alemany-80 barriles saúcor, 199 pipes aguardiente y efectes. –;;Maria;;;g.;1882_01_08;Matanzas;;
;;N/A: ;;;;;;;;;De Ca Josefa, p. Inolan 500 sacos astear, 8;;Inolan;;;p.;1882_01_08;Ca Josefa;;
;;N/A: ;;;;;;;;;De Sects, p Otere-se nece carbon.;;Otere-se;;;p;1882_01_08;Sects;;
;;;;;;;;;;;De B Encarnacion, p. Hernandes-570 ances;;Hernandes;;;p.;1882_01_08;B Encarnacion;;
Día null:;;N/A: ;;;Rosa;cap.;;;;;De Cárdenas vap. Habanero, cap. Rosa: 100 oajas papol.;;Habanero;;;vap.;1882_01_10;Cárdenas;;
Día null:;;N/A:  | N/A: ;;;García;cap.;;;;;De Guanes vap. Guaniguanico, cap. García: 42 tercios tabaco, 27 s. miraguano.;;Guaniguanico;;;vap.;1882_01_10;Guanes;;
;;N/A: ;;;Pujol;patrón;;;;;De Banes golota San José, patron Pujol: 4,000 ladrillos.;;San José;;;golota;1882_01_10;Banes;;
Día XX:;;N/A: ;;;Lloret;pat.;;;;;De Guanes gol. Angelita, pat. Lloret: 400 tercios tabacos.;;Angelita;;;gol.;1882_01_10;Guanes;;
Día 01:;;N/A: ;;;Calzada;pat.;;;;;De la Tejas gol. Júcaro, pat. Calzada: 1000 sacos carБод.;;Júcaro;;;gol.;1882_01_10;Tejas;;
;;N/A: ;;;Pujol;patron;;;;;De Cayos de 5 Leguas g. Isabel II, patron Pujol: 800 a. carbon.;;Isabel II;;;g.;1882_01_10;Cayos de 5 Leguas;;
;;N/A:  | N/A:  | N/A: ;;;Sanchez;pat.;;;;;De Mariel g. San Antonio, patron Sanchez, 78 terolos, tabacos, 150 caballos leña.;;San Antonio;;;g.;1882_01_10;Mariel;;
;;N/A:  | N/A: ;;;Ferrer;p.;;;;;De Bimas g. Mercedita, p. Ferrer: 278 tercios tabaco y efectos.;;Mercedita;;;g.;1882_01_10;Bimas;;
Día null:;;N/A:  | N/A: ;;;Or;pat.;;;;;De la Malata g. Paquete de Naevitas, pat. Or bay: 250 caballos leña, 500 sacos carbon.;;Paquete de Naevitas;;;g.;1882_01_10;Malata;;
;;N/A: ;;;Orbar;p.;;;;;De Sierra Morena bal. Autonica, p. Orbar: 600 sacos carbon.;;Autonica;;;bal.;1882_01_10;Sierra Morena;;
;;N/A: ;;;Lozano;p.;;;;;"De Gibacoa g. Jóven Salvador, p. Lozano; 3000 ladrillos.";;Jóven Salvador;;;g.;1882_01_10;Gibacoa;;
;;N/A: ;;;Piñesro;p.;;;;;De Malas Aguas g. Estrolls, p. Piñesro: 200 pieras maderas.;;Estrolls;;;g.;1882_01_10;Malas Aguas;;
;;N/A:  | N/A: ;;;Rodriguez;p.;;;;;De Bahia Honda g. Céfiro, p. Rodriguez: 186 . azn. car, 6 pipas aguardiente.;;Céfiro;;;g.;1882_01_10;Bahia Honda;;
;;;;;Lopez;p.;;;;;De id. gol. Caballo Marino, p. Lopez: en lastre.;;Caballo Marino;;;gol.;1882_01_10;id.;;
;;N/A:  | N/A: ;;;Valent;p.;;;;;De Cárdenas g. M. del Carmen, p. Valent: 81 cajas y 194 bocoyes azúcar.;;M. del Carmen;;;g.;1882_01_10;Cárdenas;;
;;N/A:  | N/A: ;;;Jofró;patron;;;;;De Cárdenas g. Rosita, patron Jofró: 125 bocoyes stear, 90 pipas aguardiente.;;Rosita;;;g.;1882_01_10;Cárdenas;;
Día 01:;;N/A:  | N/A: ;;;Alemañy;pat.;;;;;De 8. Morena g. Jóven Pilar, pat. Alemañy: 130 booo 50 &зdicar.;;Jóven Pilar;;;g.;1882_01_10;8.;;
;;N/A: ;;;Mariño;p.;;;;;De Tejas Castilia, p. Mariño-1000 a carbon.;;Castilia;;;p.;1882_01_11;Tejas;;
;;N/A: ;;;Navarro-2008;p.;;;;;De idg. Dorotea, p. Navarro-2008. carbop.;;Dorotea;;;p.;1882_01_11;;;
;;N/A: ;;;Grandal;p.;;;;;De Banes g. José Manuel, p. Grandal-5,000 ladri1100.;;José Manuel;;;g.;1882_01_11;Banes;;
;;N/A:  | N/A: ;;;Portella;p.;;;;;De Santa Maria g Neptuno, p. Portella-00 quintales okseara y 800 a. carbon.;;Neptuno;;;g;1882_01_11;Santa Maria;;
;;N/A: ;;;;p.;;;;;De Cana g. Margarita, p. 8egat-00 a. carbon.;;Margarita;;;g.;1882_01_11;Cana;;
;;N/A: ;;;Ferrer-600;;;;;;De Grandillo, Josefs, p. Ferrer-600 caballos leña.;;Josefs;;;p.;1882_01_11;Grandillo;;
;;N/A:  | N/A:  | N/A: ;;;Forgal;p.;;;;;De Bagus la Chica g. J. Leocadia, p. Forgal-15,000 ladrillos, 237 terolos tabaco y efectos.;;J. Leocadia;;;g.;1882_01_11;Bagus la Chica;;
Día null:;;N/A:  | N/A: ;;;Juan;p.;;;;;De Cabañas g. Esmeralda p. Juan: 90 booeyes azúcar, 84 pipas aguardiente.;;Esmeralda;;;g.;1882_01_12;Cabañas;;
