arrival_date;arrival_date_calc;cargo_list;crew_number;forced_arrival;master_name;master_role;parsed_text;passenger_account;publication_day;quarantine;raw_text;ship_flag;ship_name;ship_tons_capacity;ship_tons_unit;ship_type;source_file;travel_departure_port;travel_duration_unit;travel_duration_value
Día 31:;;;;;Hanlon;cap.;;;;;Día 31: De Tampa y Cayo-Hueso, en 1 días, vapor americano Mascotte, cap. Hanlon, trip. 42, tons. 520,;americano;Mascotte;;;vapor;1891_01_01;Tampa y Cayo-Hueso;;
Día 31:;;;;;Cantero;pat.;;;;;Dia 31: De Cárdenas, gol. Aguila de Oro, pat. Cantero: con;;Aguila de Oro;;;gol.;1891_01_01;Cárdenas;;
;;N/A: ;;;Acuña;pat.;;;;;-Sagua, gol. María Andrea, pat. Acuña: con 500;;María Andrea;;;gol.;1891_01_01;Sagua;;
;;N/A: ;;;Serra;pat.;;;;;-Arroyos, gol. Amalia, pat. Serra: con 500 sacos;;Amalia;;;gol.;1891_01_01;Arroyos;;
;;N/A:  | N/A:  | N/A: ;;;Villalonga;pat.;;;;;-Batabanó, gol. Clfo, pat. Villalonga: con 800 caballos leña y efectos.;;Clfo;;;gol.;1891_01_01;Batabanó;;
;;;;;Villalonga;pat.;;;;;-Mariel, gol. María Magdalena, pat. Villalonga:;;María Magdalena;;;gol.;1891_01_01;Mariel;;
;;;;;Porcel;pat.;;;;;Jaruce, gol. Paquete de Jaruco, pat. Porcel: con;;Paquete de Jaruco;;;gol.;1891_01_01;;;
;;N/A:  | N/A: ;;;Bonet;pat.;;;;;-Jaruco, gol. Joven Lola, pat. Bonet: con 100 sacos maiz y 1,200 tejas.;;Joven Lola;;;gol.;1891_01_01;Jaruco;;
Día 31:;;N/A: ;;;Curtis;cap.;;;;;Día 31 de diciembre: do sándian De Nueva York, en 3 días, vap. amer. Yumuri, capitán Curtis, trip. 78, tons. 2,332, con carga, á;amer.;Yumuri;;;vap.;1891_01_02;Nueva York;;
Día 16:;;N/A:  | N/A: ;;;Leighton;cap.;;;;;Cárdenas y Caibarién, en 16 boras, vapor americano Saratoga, cap. Leighton, trip. 60, tons. 1692,;americano;Saratoga;;;vapor;1891_01_02;Cárdenas y Caibarién;;
;;;;;Rogers;cap.;;;;;Schull, cap. Rogers, trip. 10, tons. 839, & Luis V.;;Luis V.;;;;1891_01_02;Schull;;
;;N/A: ;;;Ross;cap.;;;;;cap. Ross, trip. 10, tons. 729, con madera, á Diaz;;;;;;1891_01_03;;;
Día 2:;;N/A:  | N/A: ;;;Allen;cap.;;;;;Día 2: De Veracruz y escalas en 4 dias, vap. americano City of Washington, cap. Allen, trip. 60, tons. 1516;americano;City of Washington;;;vap.;1891_01_03;Veracruz;;
Día 3:;;N/A:  | N/A: ;;;Hanlon;cap.;;;;;Día 3: De Tampa y Cayo-Hueso, en 14 días, vapor americano Mascotte, cap. Hanlon, trip. 42, tons. 520,;americano;Mascotte;;;vapor;1891_01_04;Tampa y Cayo-Hueso;;
;;;;;Nouvellon;cap.;;;;;Lafayette, cap. Nouvellon, trip. 157, tons. 1,281,;;Lafayette;;;;1891_01_06;;;
Día 14:;;N/A: ;;;Gorordo;cap.;;;;;-Santander y escalas, en 14 días, vapor-correo español Ciudad de Santander, cap. Gorordo, tripuJación 127, tons. 2,295, con carga, á M. Calvo y;español;Ciudad de Santander;;;vapor-correo;1891_01_06;Santander;;
Día 5:;;N/A:  | N/A: ;;;Me Kay;cap.;;;;;Día 5: De Tampa y Cayo-Hueso, en 1 días, vapor americano Olivette, cap. Me Kay, trip. 42, tons. 1,104,;americano;Olivette;;;vapor;1891_01_06;Tampa y Cayo-Hueso;;
;;;;;Cardona;cap.;;;;;Agustín, cap. Cardona, trip. 38, tons. 2,950, con;;Agustín;;;;1891_01_06;;;
Día 4:;;N/A:  | N/A: ;;;Hausen;cap.;;;;;-Nueva-York, en 4 días, vap. amer. City of Alexandría, cap. Hausen, trip. 60, tons. 1,652, con;amer.;City of Alexandría;;;vap.;1891_01_06;Nueva York;;
Día 6:;;N/A:  | N/A: ;;;Staples;cap.;;;;;Día 6: De Nueva-Orleans y escalas, en 4 días, vapor ameribocano Aransas, cap. Staples, trip. 32, tons. 678,;;Aransas;;;vapor;1891_01_07;Nueva-Orleans;;
Día 7:;;;;;Hanlon;cap.;;;;;Día 7: Met Y De Tampa y Cayo-Hueso, en 11 días, vapor ameri97 cano Mascotte, cap. Hanlon, trip. 42, tons. 520,;can.;Mascotte;;;vapor;1891_01_08;Tampa y Cayo-Hueso;;
Día 4:;;;;;Mc Intosh;cap.;;;;;-Nueva-York, en 4 días, vap. amer. Orizaba, capitán Mc Intosh, trip. 70, tons. 2,334, con carga,;amer.;Orizaba;;;vap.;1891_01_08;Nueva York;;
Día 8:;;N/A: ;;;Reynolds;cap.;;;;;Día 8: De Veracruz y escalas, en 4 días, vap. amer. Yucatán, cap. Reynolds, trip. 75, tons. 2 317, con carga, á Hidalgo y Comp.;amer.;Yucatán;;;vap.;1891_01_09;Veracruz;;
Día 20:;;N/A:  | N/A: ;;;Dodge;cap.;;;;;L V Placé. Nueva York en 20 días, berg. amer. Haittie G. Mc Farlaut, cap. Dodge, trip. 9. tons. 519: con maderas, á R. Pérez Santa María. -Matanzas en 8 horas, vap. amer. City of Alexaudiía, cap. Hausen, trip. 60, tons. 1,65?: con carga, á Hida go y Ca;amer.;Haittie G. Mc Farlaut;;;berg.;1891_01_10;Nueva York;;
;;N/A: ;;;Llorca;cap.;;;;;cap. Llorca, trip. 63, tons. 3,895: con carga, á;;;;;;1891_01_10;;;
;;;;;Carmona;cap.;;;;;Condal, cap. Carmona, trip. 81, tons. 2,595: con;;Condal;;;;1891_01_10;;;
Día 10:;;N/A:  | N/A: ;;;Hanlon;cap.;;;;;Día 10: De Tampa y Cayo-Ifneso, en 1 días, vapor americano Mascotte, cap. Hanlon, trip. 42, tons. 520,;americano;Mascotte;;;vapor;1891_01_11;Tampa y Cayo-Ifneso;;
;;N/A: ;;;Aldámiz;cap.;;;;;na. cap. Aldámiz, trip. 38, tons. 1,380, con carga,;;;;;;1891_01_13;;;
;;N/A: ;;;Alsina;cap.;;;;;cap. Alsina, trip. 14, tons. 499, con carga, á Fabra y Comp.;;;;;;1891_01_13;;;
Día 12:;;N/A: ;;;Burley;cap.;;;;;Día 12: De Nueva York, en 4 días, vap. amer. Niágara, capitán Burley, trip. 60, tons. 1,667, con carga, á;amer.;Niágara;;;vap.;1891_01_13;Nueva York;;
Día 2:;;N/A:  | N/A:  | N/A: ;;;Rogers;cap.;;;;;-Cárdenas, en 2 días, berg. inglés Sladdastha, capitán Rogers, trip. 10, tons. 466, en lastre, á J.;inglés;Sladdastha;;;berg.;1891_01_13;Cárdenas;;
