arrival_date;arrival_date_calc;cargo_list;master_name;master_role;publication_day;raw_text;ship_flag;ship_name;ship_type;source_file;travel_departure_port
Día 3:;;N/A: ;Prats;pat.;;Dia 3!: De Granadillo gol. Dos Amigos, pat. Prats: con 700;;Dos Amigos;gol.;1888_01_01;Granadillo
;;N/A: ;Mateu;pat.;;-Bajas gel. San Francisco, pat. Mateu: con 800 sacos carbon.;;San Francisco;gel.;1888_01_01;
Día 2:;;N/A: ;Bombí;cap.;;Dia 2: De Caibarien vap. Alava, cap. Bombí: con 15 tercios;;Alava;vap.;1888_01_03;Caibarien
;;N/A: ;Ponte;pat.;;Nuevitas gol. Emilio, patron Ponte: con 40 cajas;;Emilio;gol.;1888_01_03;Nuevitas
;;N/A: ;Lloret;pat.;;-Bajas gol. Angelita, pat. Lloret: con 82 tercios;;Angelita;gol.;1888_01_03;
Día 4:;;N/A: ;Zubirat;pat.;;Dia 4: M % De Moron gol. Manuela pat. Zubirat: con 600 pacnete tablillas y efe. tos;;Manuela;gol.;1888_01_05;Moron
;;N/A: ;Acuña;pat.;;Sagua gol. Rosita, pat. Acuña: con 500 sacos carboa;;Rosita;gol.;1888_01_05;Sagua
;;N/A:  | N/A: ;Morantes;pat.;;-Mar el gol. Altagracia, pat. Morantes: con 70 sacos azúcar y efectos;;Altagracia;gol.;1888_01_05;Mar
;;N/A: ;Mayans;pat.;;-Playas de San Juan gol. 2 Gertrúdis, pat. Mayans. con & 0 sacos carbon.;;2 Gertrúdis;gol.;1888_01_05;Playas de San Juan
;;N/A: ;Villalenga;pat.;;Playas de San Juan gol. Dos Sofías, pat. Villalenga: con 1,009 sacos carbon.;;Dos Sofías;gol.;1888_01_05;Playas de San Juan
;;N/A: ;Villalonga;pat.;;-Sagua gol. Enriqueta, pat. Villalonga: con 500;;Enriqueta;gol.;1888_01_05;Sagua
;;N/A: ;Esféban;pat.;;-T ja ol. Vicenta, pat. Esféban: con 600 carriles;;Vicenta;ja;1888_01_05;
Día 5:;;;Cantero;pat.;;Dia 5: De Cárdenas gol. Aguila de Oro, pat. Cantero: com;;Aguila de Oro;gol.;1888_01_06;Cárdenas
;;N/A:  | N/A: ;Enseñat;pat.;;-Ortigosa gel. Dolorita, pat. Enseñat: con 300 caballos leña y 2,000 tejas.;;Dolorita;gel.;1888_01_06;Ortigosa
;;;Valent;pat.;;-Cárdenas gol. María del Cármen, pat. Valent: com;;María del Cármen;gol.;1888_01_06;Cárdenas
Día 7:;;N/A:  | N/A:  | N/A: ;Suas;pat.;;Dia 7: De Gibara got Seis Manuelas, pat. Suas: con 297 88cos maíz, 2 bultos cera amarilla y efectos.;;Seis Manuelas;got;1888_01_08;Gibara
;;N/A:  | N/A:  | N/A: ;Torres;pat.;;-Mariel gol. Isabelita, pat. Torres: con 300 varas madera, 200 tendidos sogas y efectos.;;Isabelita;gol.;1888_01_08;Mariel
Día 9:;;N/A: ;Bombi;cap.;;Dia 9 De Caibarien vap. Alava, cap. Bombi: con 14 tercios;;Alava;vap.;1888_01_10;Caibarien
Día :;;N/A: ;Simó;pat.;;-Cárdenas gol Juan Ferrin, pat. Simó: con 80 pipas aguardiente.;;Juan Ferrin;gol.;1888_01_10;Cárdenas
;;N/A:  | N/A: ;Tasso;pat.;;Jibacoa gol. 14 Vinarós, pat. Tasso: con 216 fanegas, 27 sacos maiz.;;14 Vinarós;gol.;1888_01_10;Jibacoa
;;N/A: ;Borrell;pat.;;-Teja gol. Altagracia, pat. Borrell: con 800 sacos;;Altagracia;gol.;1888_01_10;Teja
