arrival_date;arrival_date_calc;cargo_list;master_name;master_role;publication_day;raw_text;ship_flag;ship_name;ship_type;source_file;travel_departure_port
Día :;;N/A:  | N/A:  | N/A:  | N/A:  | N/A: ;Vaca;cap.;;"De Cuba; vapor Cosme de Herrera, cap. Vaca: con 250 reyes; 100 carneros; 1.363 sacos azúcar; 301 sacos maíz y efectos.";;Cosme de Herrera;vapor;1892_01_01;Cuba
;;;Rodríguez;pat.;;Cabañas, gol. Dos Amigos, pat. Rodríguez: en lastre.;;Dos Amigos;gol.;1892_01_01;Cabañas
;;N/A:  | N/A: ;Juan;pat.;;Cabañas, húmo. Rosita, pat. Juan: con 50 piezas de máquina y un mobiliario usado.;;Rosita;húmo.;1892_01_01;Cabañas
;;;Tous;pat.;;Canari, gol. Sabás, pat. Tous: en lastre.;;Sabás;gol.;1892_01_01;
;;;Barceló;pat.;;Banes, gol. Salve Virgen María, pat. Barceló: en lastre.;;Salve Virgen María;gol.;1892_01_01;Banes
Día :;;N/A: ;Vera;pat.;;Cárdenas, gol. Cárdenas, pat. Vera: con 500 piñas aguardiente.;;Cárdenas;gol.;1892_01_01;Cárdenas
;;N/A:  | N/A: ;Barrera;pat.;;Santa Cruz, gol. Joven Manuel, pat. Barrera: con 140 fanegas maíz y 40 sacos frijoles.;;Joven Manuel;gol.;1892_01_01;Santa Cruz
;;N/A: ;Palau;pat.;;Yaguarjay, gol. Joven Miguel, pat. Palau: con dos cajones.;;Joven Miguel;gol.;1892_01_01;
;;N/A: ;Padrón;pat.;;Uveros, gol. Joven Victoria, pat. Padrón: con 1.260 sacos carbón.;;Joven Victoria;gol.;1892_01_01;Uveros
;;N/A: ;Larragán;cap.;;De Sagra: vapor Adela, cap. Larragán: con 128 pi-;;Adela;vapor;1892_01_03;Sagra
;;;Gomila;pat.;;Marie, gol. Trafalgar, pat. Gomila: en las re.;;Trafalgar;gol.;1892_01_03;
;;N/A: ;Torres;pat.;;Salto, gol. Castilla, pat. Torres: con 1,200 sacos;;Castilla;gol.;1892_01_03;Salto
;;;Suárez;pat.;;Punta-Algre, gol. Bella Catalina, pat. Suárez:;;Bella Catalina;gol.;1892_01_03;Punta-Algre
;;N/A: ;Lazo;pat.;;Nuevitas, gol. Emilia, pat. Lazo: con 105 toros,;;Emilia;gol.;1892_01_03;Nuevitas
;;N/A:  | N/A: ;Urrutibeacona;cap.;;De Caibarén, vapor Alava, cap. Urrutibeacona: con 199 tercios tabaco y efectos.;;Alava;vap.;1892_01_06;Caibarén
Día :;;N/A: ;Beneján;pat.;;Santa Marta, gol. Margarita, pat. Beneján: con 600 sacos carbón.;;Margarita;gol.;1892_01_06;Santa Marta
Día null:;;;;pat.;;Cabanas, gol. Condor, pat. Río: en lastre.;;Condor;gol.;1892_01_06;Cabanas
Día :;;N/A:  | N/A: ;Calafell;pat.;;Matanzas, gol. María Josefa, pat. Calafell: con 200 cascos aguardiente y efectos.;;María Josefa;gol.;1892_01_06;Matanzas
