arrival_date;arrival_date_calc;cargo_list;master_name;master_role;publication_day;raw_text;ship_flag;ship_name;ship_type;source_file;travel_departure_port
;;N/A:  | N/A:  | N/A:  | N/A:  | N/A: ;Enseñat;pat.;;De Sagua la Graudo g. Paquete de Sagna, pat. Enseñat 100 tas sega majagua, 58 palosjúcaro, 30 fanegas maiz, 16 quintalos cáscara mangle, 14 estacas júcaro.;;Paquete de Sagna;g.;1871_02_15;Sagua la Graudo
;;N/A: ;Fobrer;pat.;;De Mantua gol. Neptuno, patron Fobrer, 800 sacos carbon.;;Neptuno;gol.;1871_02_15;Mantua
;;N/A:  | N/A:  | N/A: ;Lladó;p.;;De Santa Lucia. Leonor, p. Lladó, 275 c. azúcar, 22 pp. aguardiente, 20 tercios tabaco.;;Leonor;;1871_02_15;Santa Lucia
;;N/A:  | N/A: ;Lopez;p.;;De Cabañas g. Caballo Marino, p. Lopez, 400 c. azúcar 8pp. aguardiente.;;Caballo Marino;g.;1871_02_15;Cabañas
;;N/A:  | N/A: ;Rodriguez;p.;;De fem goleta Cefiro, p. Rodriguez, 360 c. azúcar, 8 Pp. aguardiente.;;Cefiro;goleta;1871_02_15;fem
;;N/A:  | N/A:  | N/A: ;Alejos;p.;;De Banes. Josefa, p. Alejos, 7000 ladrillos, 18 bocoyes y 16 cuarterolas miel de purga.;;Josefa;p.;1871_02_15;Banes
;;N/A: ;Sosa;p.;;De Jaimanitas boto San Anselmo, p. Sosa, 8000 ladrilles.;;San Anselmo;boto;1871_02_15;Jaimanitas
Día 01:;;N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A: ;Sitges;cap.;;De Santiago de Cuba y escalas vap. Pelayo, cap. Sitges, 8,000 plátanos, 100 racimos id. guineos, 33 bls. arcile de coco, 1 caja con una mesa y una banqueta, 1 caja con sombreros, martillos y auifato de quiulua.;;Pelayo;vap.;1871_02_15;Santiago de Cuba
;;N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A: ;Vega;op.;;"De Calbarien y Se la Grande vapor Nuevo Almendares op. Vega; & bar. grasa, 2 catros, 2 jabas arroz. 2c. pilon. 2 boc. frijoles, 1 c. azúcar, 1 jaba harina, 1 barril aguardiente, l'idem melado, 1 c. raspadura.";;Nuevo Almendares;vapor;1871_02_16;Calbarien
;;N/A:  | N/A:  | N/A:  | N/A: ;Turres;p.;;"De la Teja gol. Dorotea, p. Turres; 330 o. azúcar, 1 idm tasajo, 1 barril ferreteria, 30 czeros.";;Dorotea;gol.;1871_02_16;la Teja
;;N/A:  | N/A:  | N/A:  | N/A:  | N/A:  | N/A: ;Amat;p.;;"De Caibarien y Matanzas gl. Leonarda, p. Amat; 11300 cocos secos, 4 bultos muebles usados, 2 inesas, 1 bañadera. 1 paila chica. 1 c. azúcar.";;Leonarda;gl.;1871_02_16;Caibarien y Matanzas
;;N/A: ;Pujol;p.;;"De Cárdenas gh'. Clio, p. Pujol; 600 c. azúcar.";;Clio;gh';1871_02_16;Cárdenas
